source	subgroup_type	subgroup	n	coverage_90	empirical_q90_half_width	fixed_half_width	half_width_inflation
ChEMBL37	cold_category	drug_cold	7378	0.658308484684197	2.53069756384464	1.45587125376538	1.73827016454882
ChEMBL37	cold_category	strict_scaffold_protein_identity_double_cold	15760	0.660723350253807	2.38592286732239	1.45587125376538	1.63882820074342
ChEMBL37	cold_category	protein_identity_cold	1802	0.639289678135405	2.50947926945377	1.45587125376538	1.72369587143327
ChEMBL37	cold_category	seen_molecule_and_protein_cluster_new_pair	496	0.721774193548387	2.20461883322171	1.45587125376538	1.51429518751731
BioLiP/MOAD	cold_category	drug_cold	291	0.673539518900344	2.48609074528034	1.45587125376538	1.70763090407236
BioLiP/MOAD	cold_category	strict_scaffold_protein_identity_double_cold	704	0.644886363636364	2.73559201334919	1.45587125376538	1.87900681895739
BioLiP/MOAD	cold_category	protein_identity_cold	365	0.613698630136986	2.852081558702	1.45587125376538	1.95902045000582
BioLiP/MOAD	cold_category	seen_molecule_and_protein_cluster_new_pair	22	0.636363636363636	2.55815049876724	1.45587125376538	1.75712686966721
ChEMBL37	affinity_regime	<5	3529	0.34712383111363	2.94868543575221	1.45587125376538	2.02537513404836
ChEMBL37	affinity_regime	6-<7	6357	0.907660846311153	1.43047397326438	1.45587125376538	0.982555270299269
ChEMBL37	affinity_regime	7-<8	5212	0.820414428242517	1.76612305546388	1.45587125376538	1.21310387226623
ChEMBL37	affinity_regime	5-<6	6225	0.655261044176707	2.16236419959351	1.45587125376538	1.48527158153641
ChEMBL37	affinity_regime	>=8	4113	0.347678093848773	3.1932072068349	1.45587125376538	2.19333076230207
BioLiP/MOAD	affinity_regime	>=8	103	0.233009708737864	3.58561850539378	1.45587125376538	2.46286785051916
BioLiP/MOAD	affinity_regime	6-<7	220	0.818181818181818	1.70065217299389	1.45587125376538	1.16813363035737
BioLiP/MOAD	affinity_regime	7-<8	158	0.651898734177215	2.31725692868329	1.45587125376538	1.59166335806829
BioLiP/MOAD	affinity_regime	5-<6	256	0.9375	1.26265334166839	1.45587125376538	0.867283654651973
BioLiP/MOAD	affinity_regime	<5	645	0.528682170542636	3.04202453049479	1.45587125376538	2.08948732425829
ChEMBL37	prediction_decile	(7.39,7.71]	2543	0.598898938261895	2.47203175552555	1.45587125376538	1.69797415062083
ChEMBL37	prediction_decile	(6.91,7.13]	2543	0.67400707825403	2.28986816266959	1.45587125376538	1.57285072890011
ChEMBL37	prediction_decile	(6.69,6.91]	2544	0.698899371069183	2.21843257742769	1.45587125376538	1.52378348819654
ChEMBL37	prediction_decile	[2.32,5.58]	2544	0.637971698113207	2.89391578815075	1.45587125376538	1.98775529131858
ChEMBL37	prediction_decile	(5.58,5.96]	2544	0.707940251572327	2.2838570004323	1.45587125376538	1.56872181831015
ChEMBL37	prediction_decile	(7.71,9.98]	2544	0.552279874213837	2.75405026039132	1.45587125376538	1.8916853075218
ChEMBL37	prediction_decile	(6.47,6.69]	2543	0.682265041289815	2.31442457536266	1.45587125376538	1.58971788843057
ChEMBL37	prediction_decile	(7.13,7.39]	2544	0.63561320754717	2.40027640938593	1.45587125376538	1.6486872744949
ChEMBL37	prediction_decile	(6.23,6.47]	2544	0.707940251572327	2.26819612586304	1.45587125376538	1.55796477195131
