source	stratum	stratum_label	model_id	model_label	group_type	removed_group_id	removed_n	removed_fraction	effective_groups	full_n	reduced_n	full_spearman	reduced_spearman	spearman_shift	full_delta_mae	reduced_delta_mae	delta_mae_shift	full_coverage_90	reduced_coverage_90
BioLiP/MOAD	overall	Overall	hgb_molecule	HGB ligand only	document_component	db_9cd5c3b339be53db	42	0.0303907380607815	198.248287315756	1382	1340	0.439831421969678	0.434510290481974	-0.0053211314877038	-0.379751003565546	-0.354579883035612	0.0251711205299344		
BioLiP/MOAD	overall	Overall	hgb_molecule	HGB ligand only	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_c8065dce43d773eb	59	0.0426917510853835	90.1077561804114	1382	1323	0.439831421969678	0.412956342766534	-0.0268750792031435	-0.379751003565546	-0.372966439511471	0.0067845640540749		
BioLiP/MOAD	overall	Overall	hgb_molecule	HGB ligand only	ligand_scaffold	3ab1f373b0e5098e54865308927bfd8a91b15d45e80d1261122bf42d8596efae	199	0.143994211287988	39.8931406132511	1382	1183	0.439831421969678	0.42655252022683	-0.0132789017428481	-0.379751003565546	-0.337183164982824	0.0425678385827225		
BioLiP/MOAD	overall	Overall	hgb_protein	HGB protein only	document_component	db_9cd5c3b339be53db	42	0.0303907380607815	198.248287315756	1382	1340	0.231366781895666	0.216580006008271	-0.014786775887395	-0.0395837764887822	-0.0300874764084262	0.009496300080356		
BioLiP/MOAD	overall	Overall	hgb_protein	HGB protein only	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_c8065dce43d773eb	59	0.0426917510853835	90.1077561804114	1382	1323	0.231366781895666	0.199728954458057	-0.0316378274376089	-0.0395837764887822	-0.0409938253919646	-0.00141004890318244		
BioLiP/MOAD	overall	Overall	hgb_protein	HGB protein only	ligand_scaffold	3ab1f373b0e5098e54865308927bfd8a91b15d45e80d1261122bf42d8596efae	199	0.143994211287988	39.8931406132511	1382	1183	0.231366781895666	0.204418109954223	-0.0269486719414426	-0.0395837764887822	-0.0198851950006969	0.0196985814880853		
BioLiP/MOAD	overall	Overall	hgb_fusion_additive	HGB additive fusion	document_component	db_9cd5c3b339be53db	42	0.0303907380607815	198.248287315756	1382	1340	0.434844253869656	0.432635935755956	-0.0022083181137002	-0.333686851971507	-0.319901687835312	0.0137851641361951		
BioLiP/MOAD	overall	Overall	hgb_fusion_additive	HGB additive fusion	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_c8065dce43d773eb	59	0.0426917510853835	90.1077561804114	1382	1323	0.434844253869656	0.418838141246506	-0.0160061126231507	-0.333686851971507	-0.33506949681499	-0.00138264484348238		
BioLiP/MOAD	overall	Overall	hgb_fusion_additive	HGB additive fusion	ligand_scaffold	3ab1f373b0e5098e54865308927bfd8a91b15d45e80d1261122bf42d8596efae	199	0.143994211287988	39.8931406132511	1382	1183	0.434844253869656	0.414816501783079	-0.0200277520865777	-0.333686851971507	-0.294917183620405	0.0387696683511026		
BioLiP/MOAD	overall	Overall	hgb_fusion_interaction	HGB interaction fusion	document_component	db_9cd5c3b339be53db	42	0.0303907380607815	198.248287315756	1382	1340	0.436091393961135	0.439822981873903	0.00373158791276806	-0.325098950825468	-0.316363317195819	0.0087356336296493		
