source	stratum	stratum_label	model_id	model_label	algorithm_family	n	spearman	pair_hc1_ci95_low	pair_hc1_ci95_high	document_cluster_se	document_cluster_ci95_low	document_cluster_ci95_high	scaffold_cluster_se	scaffold_cluster_ci95_low	scaffold_cluster_ci95_high	protein_cluster_se	protein_cluster_ci95_low	protein_cluster_ci95_high	three_way_cluster_se	three_way_cluster_ci95_low	three_way_cluster_ci95_high	dependence_envelope_se	dependence_envelope_ci95_low	dependence_envelope_ci95_high	document_residual_rank_rho	document_residual_eligible_n	protein_residual_rank_rho	protein_residual_eligible_n	protein_cluster_residual_rank_rho	scaffold_residual_rank_rho	exact_protein_between_covariance_fraction	document_between_covariance_fraction	exact_protein_macro_groups	exact_protein_macro_n	exact_protein_macro_spearman	exact_protein_n_weighted_spearman	interpretation	model_label_plot	stratum_plot
BioLiP/MOAD	overall	Overall	hgb_molecule	HGB ligand only	Histogram gradient boosting	1382	0.439831421969678	0.394107853375333	0.485554990564023	0.0389203282098681	0.363547578678336	0.516115265261019	0.0322888322924123	0.37654531067655	0.503117533262806	0.0493158040874481	0.343172445958279	0.536490397981076	0.0369037765080944	0.367500020013813	0.512162823925543	0.0493158040874481	0.343172445958279	0.536490397981076	0.26696120719809	1152	0.391531607029582	611	0.387996996113791	0.263487662735371	0.867080198873495	0.926216184711909	83	467	0.29123021171118	0.318085308099309	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB ligand	Overall
BioLiP/MOAD	overall	Overall	hgb_protein	HGB protein only	Histogram gradient boosting	1382	0.231366781895665	0.178706617140086	0.284026946651245	0.0609257070575399	0.111952396062887	0.350781167728444	0.0467254916139377	0.139784818332348	0.322948745458983	0.0731635304701723	0.0879662621741278	0.374767301617203	0.0598438622570856	0.114072811871778	0.348660751919553	0.0731635304701723	0.0879662621741278	0.374767301617203	0.0160098482321898	1152		611	0.0904656669259153	0.232802831790078	1	0.996112246191273	0	0			Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB protein	Overall
BioLiP/MOAD	overall	Overall	hgb_fusion_additive	HGB additive fusion	Histogram gradient boosting	1382	0.434844253869656	0.387738015571956	0.481950492167356	0.0470014787333856	0.34272135555222	0.526967152187092	0.0374116305540484	0.361517457983721	0.508171049755591	0.0566130882936082	0.323882600814184	0.545805906925128	0.0453992849981529	0.345861655273276	0.523826852466036	0.0566130882936082	0.323882600814184	0.545805906925128	0.337657021875834	1152	0.327918397758237	611	0.359216020399086	0.320910396737782	0.932852122993836	0.92936265456072	83	467	0.299737929851854	0.299494486234064	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB additive	Overall
BioLiP/MOAD	overall	Overall	hgb_fusion_interaction	HGB interaction fusion	Histogram gradient boosting	1382	0.436091393961134	0.389272917333703	0.482909870588565	0.0455518302364965	0.346809806697601	0.525372981224667	0.0353230050837483	0.366858303996987	0.505324483925281	0.0550227676632523	0.32824676934116	0.543936018581109	0.0449664358043736	0.347957179784562	0.524225608137707	0.0550227676632523	0.32824676934116	0.543936018581109	0.298127635011602	1152	0.307842749330532	611	0.351967533618713	0.309439493934215	0.938415608025529	0.937249020508932	83	467	0.220389617071123	0.240765559467863	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB interaction	Overall
BioLiP/MOAD	overall	Overall	phase15_esm2_aft_frozen	Frozen ESM2-AFT	XGBoost accelerated failure time	1382	0.426827729233303	0.379962350605892	0.473693107860714	0.0502818310458265	0.328275340383483	0.525380118083123	0.036666588156895	0.354961216445789	0.498694242020817	0.0626227757924282	0.304087088680144	0.549568369786462	0.0509994171817149	0.326868871557142	0.526786586909464	0.0626227757924282	0.304087088680144	0.549568369786462	0.193449589289592	1152	0.233930976361433	611	0.259674032702575	0.268984544011922	0.958670446499799	0.967391147968386	83	467	0.234432568733572	0.247119454218752	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	Frozen ESM2-AFT	Overall
BioLiP/MOAD	drug_cold	Ligand cold	hgb_molecule	HGB ligand only	Histogram gradient boosting	291	0.464082935929957	0.363646233976572	0.564519637883342	0.094524399892935	0.278815112139804	0.64935075972011	0.0876925081601355	0.292205619936092	0.635960251923823	0.0884246992068603	0.290770525484511	0.637395346375403	0.0608073846445641	0.344900462026611	0.583265409833303	0.094524399892935	0.278815112139804	0.64935075972011	0.263573611044239	258	0.492291384422245	149	0.438045650843509	0.665531579188984	0.754978953911509	0.923175800965187	21	121	0.242934396961069	0.34732378344146	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB ligand	Ligand cold
BioLiP/MOAD	drug_cold	Ligand cold	hgb_protein	HGB protein only	Histogram gradient boosting	291	0.409689749246288	0.310523724783073	0.508855773709502	0.12325182356316	0.168116175062494	0.651263323430082	0.0966734636013314	0.220209760587678	0.599169737904897	0.134383270235885	0.146298539583953	0.673080958908622	0.119361046875759	0.175742097369799	0.643637401122776	0.134383270235885	0.146298539583953	0.673080958908622	0.0617646317623265	258		149	0.202646226687585	0.639898096551469	1	0.990083319591689	0	0			Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB protein	Ligand cold
BioLiP/MOAD	drug_cold	Ligand cold	hgb_fusion_additive	HGB additive fusion	Histogram gradient boosting	291	0.564616838998667	0.471393257648486	0.657840420348847	0.10576720040755	0.357313126199869	0.771920551797464	0.0678870799684555	0.431558162260494	0.697675515736839	0.122782832844621	0.32396248662321	0.805271191374123	0.0961845899020844	0.376095042790581	0.753138635206752	0.122782832844621	0.32396248662321	0.805271191374123	0.183320903271048	258	0.36677632205122	149	0.397471656739034	0.65218101483701	0.912609140838962	0.972278954988585	21	121	0.384282079164891	0.34987828697835	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB additive	Ligand cold
BioLiP/MOAD	drug_cold	Ligand cold	hgb_fusion_interaction	HGB interaction fusion	Histogram gradient boosting	291	0.526134332152421	0.435099769914443	0.617168894390399	0.104052333407113	0.32219175867448	0.730076905630362	0.061768365774296	0.405068335234801	0.647200329070041	0.12626123059436	0.278662320187476	0.773606344117366	0.101063130818906	0.328050595747365	0.724218068557477	0.12626123059436	0.278662320187476	0.773606344117366	0.0925228498579718	258	0.411371471256525	149	0.364584601328167	0.601649159194656	0.906373851195915	0.98541388487126	21	121	0.316981645750976	0.360764139816887	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB interaction	Ligand cold
BioLiP/MOAD	drug_cold	Ligand cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	XGBoost accelerated failure time	291	0.617551221027469	0.529252809484802	0.705849632570137	0.0924750681957876	0.436300087363725	0.798802354691213	0.0728545759498391	0.474756252165785	0.760346189889154	0.109646976868989	0.402643146364251	0.832459295690687	0.0899426431550825	0.441263640443507	0.793838801611431	0.109646976868989	0.402643146364251	0.832459295690687	0.211750749739106	258	0.490356238007716	149	0.440323038642069	0.705551534387827	0.911831502828174	0.978540491077578	21	121	0.435725111069115	0.458110590848104	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	Frozen ESM2-AFT	Ligand cold
BioLiP/MOAD	protein_identity_cold	Target cold	hgb_molecule	HGB ligand only	Histogram gradient boosting	365	0.237108655164313	0.140418820808101	0.333798489520524	0.0662107992848446	0.107335488566017	0.366881821762608	0.0517061192515409	0.135764661431293	0.338452648897333	0.0708394427078769	0.0982633474568742	0.375953962871751	0.0434959146544581	0.151856662441575	0.322360647887051	0.0708394427078769	0.0982633474568742	0.375953962871751	0.295723800170344	287	0.354418298526675	134	0.257377196497613	0.143322955157677	0.812136694468052	0.843883965721013	20	104	0.184784149805243	0.228288839843527	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB ligand	Target cold
BioLiP/MOAD	protein_identity_cold	Target cold	hgb_protein	HGB protein only	Histogram gradient boosting	365	0.081562531585904	-0.025180682886712	0.18830574605852	0.102881499255198	-0.120085206954284	0.283210270126092	0.0777246554499518	-0.0707777930960015	0.233902856267809	0.108907971049453	-0.131897091671024	0.295022154842831	0.0719638310968942	-0.0594865773640087	0.222611640535817	0.108907971049453	-0.131897091671024	0.295022154842831	0.0045589394990723	287		134	0.148454061324768	0.0500743003365186	1	0.99612430339281	0	0			Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB protein	Target cold
BioLiP/MOAD	protein_identity_cold	Target cold	hgb_fusion_additive	HGB additive fusion	Histogram gradient boosting	365	0.2454868510628	0.145235686207695	0.345738015917905	0.0796018609662752	0.0894672035689004	0.401506498556699	0.0652890091240417	0.117520393179678	0.373453308945922	0.0952969471918355	0.0587048345668023	0.432268867558797	0.0691730827056746	0.109907608959678	0.381066093165922	0.0952969471918355	0.0587048345668023	0.432268867558797	0.319760831128418	287	0.340984195901262	134	0.307099820144147	0.198460128061501	0.908481959677916	0.899905332017759	20	104	0.181591209101755	0.206285612062955	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB additive	Target cold
BioLiP/MOAD	protein_identity_cold	Target cold	hgb_fusion_interaction	HGB interaction fusion	Histogram gradient boosting	365	0.291163885271159	0.193942762335769	0.388385008206548	0.0794736468023921	0.13539553753847	0.446932233003847	0.0494525522283646	0.194236882903564	0.388090887638753	0.0925767996520732	0.109713357953095	0.472614412589222	0.0532843179018672	0.186726622183499	0.395601148358818	0.0925767996520732	0.109713357953095	0.472614412589222	0.0690946382701011	287	0.214759950105742	134	0.157283562300804	0.222847404567878	0.953776225399588	0.981815032311626	20	104	0.117122112153751	0.0488539224359526	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB interaction	Target cold
BioLiP/MOAD	protein_identity_cold	Target cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	XGBoost accelerated failure time	365	0.128141614874596	0.0288072333844068	0.227475996364786	0.0753811651224456	-0.0196054687653972	0.27588869851459	0.0639585583717629	0.00278284046594091	0.253500389283252	0.0861108576963361	-0.0406356662102225	0.296918895959415	0.0622436517797177	0.00614405738634957	0.250139172362843	0.0861108576963361	-0.0406356662102225	0.296918895959415	0.172003522965184	287	0.118676920699495	134	0.0596056128899932	0.0663139511704167	0.93686271281156	0.883494279071902	20	104	0.143788478809572	0.154762366317053	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	Frozen ESM2-AFT	Target cold
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	hgb_molecule	HGB ligand only	Histogram gradient boosting	704	0.387639662185052	0.321324065790803	0.453955258579301	0.0530290293642961	0.283702764631031	0.491576559739072	0.0488838087469615	0.291827397041007	0.483451927329096	0.057590665976337	0.274761956871431	0.500517367498672	0.0436161263508645	0.302152054537357	0.473127269832746	0.057590665976337	0.274761956871431	0.500517367498672	0.249211982345351	576	0.301578611776675	280	0.368011324555552	0.0506601345733772	0.90985833751244	0.915191479430505	37	186	0.216851070827479	0.266143215751703	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB ligand	Double cold
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	hgb_protein	HGB protein only	Histogram gradient boosting	704	-0.0292989379396784	-0.105861493200798	0.0472636173214408	0.0782942807352011	-0.182755728180673	0.124157852301316	0.0621979618688023	-0.151206943202531	0.0926090673231741	0.0848246170597462	-0.195555187376781	0.136957311497424	0.0700859563734302	-0.166667412431602	0.108069536552245	0.0848246170597462	-0.195555187376781	0.136957311497424	0.0473900982002222	576		280	0.0371551554832408	0.0678322634031758	1	1.0926611622625	0	0			Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB protein	Double cold
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	hgb_fusion_additive	HGB additive fusion	Histogram gradient boosting	704	0.234040395599365	0.161768036238119	0.306312754960611	0.0659497671387017	0.10477885200751	0.36330193919122	0.0586979143808839	0.118992483412832	0.349088307785898	0.0777606984215106	0.0816294266932042	0.386451364505526	0.0644506893029158	0.10771704456565	0.36036374663308	0.0777606984215106	0.0816294266932042	0.386451364505526	0.353544746987668	576	0.357928281967343	280	0.397537371089298	0.0453770428486314	0.861237767617056	0.796263632090128	37	186	0.140750281204043	0.209674993707242	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB additive	Double cold
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	hgb_fusion_interaction	HGB interaction fusion	Histogram gradient boosting	704	0.24557706422415	0.172797543037009	0.318356585411292	0.0610016241293497	0.126013880930625	0.365140247517676	0.0560676270195397	0.135684515265852	0.355469613182448	0.0739027663793161	0.100727642120691	0.39042648632761	0.0641860243334417	0.119772456530604	0.371381671917696	0.0739027663793161	0.100727642120691	0.39042648632761	0.365619093870231	576	0.335521303751002	280	0.435780740568264	0.105453679085722	0.881058108907182	0.805835978069347	37	186	0.00563217648898356	0.0953922497128345	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB interaction	Double cold
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	XGBoost accelerated failure time	704	0.283908989131822	0.212045219921744	0.355772758341901	0.075040037867984	0.136830514910574	0.430987463353071	0.0598168170875467	0.166668027640231	0.401149950623414	0.0910740725218999	0.105403806988899	0.462414171274746	0.0768952755510488	0.133194249051767	0.434623729211878	0.0910740725218999	0.105403806988899	0.462414171274746	0.247300169637167	576	0.283477555343735	280	0.369134575237467	0.24841319847487	0.929476060350943	0.919741386076824	37	186	0.10166400325808	0.154573152488205	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	Frozen ESM2-AFT	Double cold
ChEMBL37	overall	Overall	hgb_molecule	HGB ligand only	Histogram gradient boosting	25436	0.15669558518856	0.144474532293728	0.168916638083392	0.054547494640743	0.049782495692704	0.263608674684416	0.0338852971457835	0.0902804027828245	0.223110767594296	0.0197374573400709	0.118010168802021	0.195381001575099	0.0545497982776823	0.049777980564303	0.263613189812817	0.0545497982776823	0.049777980564303	0.263613189812817	0.0461419151493113	24664	0.137815327095645	24161	0.132409809744703	0.10660729975109	0.472704683777413	0.854884519060579	1107	22349	0.0735480678149588	0.124929600529082	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB ligand	Overall
ChEMBL37	overall	Overall	hgb_protein	HGB protein only	Histogram gradient boosting	25436	0.118251360719027	0.105874686949914	0.130628034488139	0.0362688908144649	0.0471643347226756	0.189338386715378	0.0126912215687714	0.0933765664442348	0.143126154993819	0.0337701876135512	0.0520617929964665	0.184440928441587	0.0408903135008427	0.038106346257375	0.198396375180679	0.0408903135008427	0.038106346257375	0.198396375180679	0.0051411092371586	24664		24161	0.0381397465108352	0.0410909860765171	1	0.978305998812009	0	0			Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB protein	Overall
ChEMBL37	overall	Overall	hgb_fusion_additive	HGB additive fusion	Histogram gradient boosting	25436	0.21523142484583	0.203144484311435	0.227318365380225	0.0487534556098333	0.119674651850557	0.310788197841103	0.0166579018649058	0.182581937190615	0.247880912501045	0.0333088246904752	0.149946128452499	0.280516721239161	0.0517272543840546	0.113846006253083	0.316616843438577	0.0517272543840546	0.113846006253083	0.316616843438577	0.0515066687532289	24664	0.167371486617521	24161	0.165565560583264	0.0777765833279616	0.698493430934087	0.880898613152771	1107	22349	0.0986897060621257	0.136130371239635	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB additive	Overall
ChEMBL37	overall	Overall	hgb_fusion_interaction	HGB interaction fusion	Histogram gradient boosting	25436	0.206229166135601	0.194133145644983	0.218325186626219	0.0558235802535833	0.0968149488385779	0.315643383432625	0.0169889310687821	0.172930861240788	0.239527471030414	0.0314475677397915	0.14459193336561	0.267866398905593	0.0580749807288375	0.0924022039070797	0.320056128364123	0.0580749807288375	0.0924022039070797	0.320056128364123	0.043494550685251	24664	0.157985287310031	24161	0.160199994754412	0.0832681967817299	0.701055767847882	0.89362044514145	1107	22349	0.0950713562111368	0.137224458797227	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB interaction	Overall
ChEMBL37	overall	Overall	phase15_esm2_aft_frozen	Frozen ESM2-AFT	XGBoost accelerated failure time	25436	0.205985660203322	0.193958511993568	0.218012808413077	0.051630137294472	0.104790591106157	0.307180729300487	0.0149493154565796	0.176685001908426	0.235286318498218	0.0264239632494759	0.154194692234349	0.257776628172295	0.052961979172215	0.102180181025781	0.309791139380863	0.052961979172215	0.102180181025781	0.309791139380863	0.0326803349416676	24664	0.153454050609278	24161	0.135200301845401	0.0787778732213389	0.786384872358934	0.928219776780654	1107	22349	0.0932796633885755	0.126119156833937	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	Frozen ESM2-AFT	Overall
ChEMBL37	drug_cold	Ligand cold	hgb_molecule	HGB ligand only	Histogram gradient boosting	7378	0.196007377202472	0.173456989895993	0.218557764508951	0.0511687389510921	0.0957166488583314	0.296298105546613	0.0290312134316529	0.139106198876432	0.252908555528512	0.0331169927843314	0.131098071345182	0.260916683059762	0.0420563048856313	0.113577019626635	0.278437734778309	0.0511687389510921	0.0957166488583314	0.296298105546613	0.065085162419815	7146	0.17736474162146	7338	0.160266703686081	0.102312556486111	0.354432051127949	0.835291646967261	236	7262	0.0697114534461388	0.149316880327203	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB ligand	Ligand cold
ChEMBL37	drug_cold	Ligand cold	hgb_protein	HGB protein only	Histogram gradient boosting	7378	0.242626911129357	0.219802300897332	0.265451521361382	0.0780776766257464	0.0895946649428938	0.39565915731582	0.0233368700954247	0.196886645742324	0.288367176516389	0.0580300545088814	0.128888004291949	0.356365817966764	0.0819918251496308	0.0819229338360803	0.403330888422633	0.0819918251496308	0.0819229338360803	0.403330888422633	0.055852378984208	7146		7338	0.102450280558994	0.11199086732558	1	0.897316110579821	0	0			Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB protein	Ligand cold
ChEMBL37	drug_cold	Ligand cold	hgb_fusion_additive	HGB additive fusion	Histogram gradient boosting	7378	0.308712294957789	0.28715690885177	0.330267681063809	0.0595980726737044	0.191900072517329	0.42552451739825	0.0228854307250936	0.263856850736606	0.353567739178973	0.0601350664668903	0.190847564682684	0.426577025232894	0.0623507101924881	0.186504902980512	0.430919686935066	0.0623507101924881	0.186504902980512	0.430919686935066	0.128679513736276	7146	0.203704021947376	7338	0.222628665190287	0.16370473217586	0.721400081738204	0.799187720466312	236	7262	0.112068948331015	0.166499368993496	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB additive	Ligand cold
ChEMBL37	drug_cold	Ligand cold	hgb_fusion_interaction	HGB interaction fusion	Histogram gradient boosting	7378	0.300813474322629	0.279221611792295	0.322405336852962	0.0658960167501181	0.171657281492397	0.42996966715286	0.0221889337245316	0.257323164222546	0.344303784422711	0.0554487304464926	0.192133962647503	0.409492985997754	0.0678880641188453	0.167752868649692	0.433874079995565	0.0678880641188453	0.167752868649692	0.433874079995565	0.116539152445739	7146	0.207888636032202	7338	0.215674811441765	0.161317946595173	0.71995034056184	0.810986957504978	236	7262	0.126981046606817	0.178449349543759	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB interaction	Ligand cold
ChEMBL37	drug_cold	Ligand cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	XGBoost accelerated failure time	7378	0.263358988054878	0.241117883076071	0.285600093033686	0.0597955342274317	0.146159740969112	0.380558235140644	0.0239783504461046	0.216361421180513	0.310356554929243	0.0494614514656608	0.166414543182183	0.360303432927573	0.0612539403506731	0.143301264967559	0.383416711142198	0.0612539403506731	0.143301264967559	0.383416711142198	0.0660875635674036	7146	0.159242327279702	7338	0.156277850466939	0.107589856749021	0.822449494164571	0.89787334388467	236	7262	0.0866769057569706	0.126605641187707	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	Frozen ESM2-AFT	Ligand cold
ChEMBL37	protein_identity_cold	Target cold	hgb_molecule	HGB ligand only	Histogram gradient boosting	1802	0.222173037557201	0.176329946709521	0.268016128404881	0.130427112221616	-0.0334641023971658	0.477810177511568	0.0909147835455251	0.043980061807972	0.40036601330643	0.0591527112212716	0.106233723563509	0.338112351550893	0.140808219297618	-0.0538110722661304	0.498157147380533	0.140808219297618	-0.0538110722661304	0.498157147380533	-0.0378519509167898	1668	0.0795744081176462	1623	0.0874694929532672	0.270472955766734	0.857209897198825	1.08581786853218	179	1515	0.0597573996625211	0.0704050199962432	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB ligand	Target cold
ChEMBL37	protein_identity_cold	Target cold	hgb_protein	HGB protein only	Histogram gradient boosting	1802	0.105756421347209	0.0587884239611118	0.152724418733307	0.0402991824073578	0.0267700238287878	0.184742818865631	0.0359388268087837	0.0353163208019931	0.176196521892425	0.0561212775238962	-0.00424128259962728	0.215754125294046	0.00121661528579276	0.103371855387055	0.108140987307363	0.0561212775238962	-0.00424128259962728	0.215754125294046	0.0760676800534434	1668		1623	0.0158923938980138	0.0556980846222641	0.999999999999996	0.615742314285317	0	0			Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB protein	Target cold
ChEMBL37	protein_identity_cold	Target cold	hgb_fusion_additive	HGB additive fusion	Histogram gradient boosting	1802	0.211338529215751	0.165532764049275	0.257144294382227	0.0768760259801301	0.060661518294696	0.362015540136806	0.0580114460807206	0.0976360948975386	0.325040963533963	0.0572610253033517	0.0991069196211816	0.32357013881032	0.0819594927755902	0.0506979233755942	0.371979135055908	0.0819594927755902	0.0506979233755942	0.371979135055908	0.0419729014375529	1668	0.136287875642481	1623	0.131135664088505	0.133656461149901	0.830945081615272	0.910258265907589	179	1515	0.134995741282427	0.130351212567348	Post-unblinding decomposition; rank CIs use rank-regression sandwich inference	HGB additive	Target cold
