source	model_id	model_label	analysis	n	common_support_cells	mae	delta_mae_vs_development_median	rank_correlation	limitation	model_label_plot	analysis_label
BioLiP/MOAD	hgb_molecule	HGB ligand only	raw_common_support	1382	18	1.2932046555816	-0.379751003565546	0.439831421969678	Poststratifies observed affinity regime and cold category only; target-family confounding remains because exact proteins do not overlap	HGB ligand	Raw common support
BioLiP/MOAD	hgb_molecule	HGB ligand only	affinity_and_cold_poststratified	1382	18	1.32722345362613	-0.155428760864789	0.427610566664335	Poststratifies observed affinity regime and cold category only; target-family confounding remains because exact proteins do not overlap	HGB ligand	Poststratified
BioLiP/MOAD	hgb_protein	HGB protein only	raw_common_support	1382	18	1.63337188265836	-0.039583776488782	0.231366781895666	Poststratifies observed affinity regime and cold category only; target-family confounding remains because exact proteins do not overlap	HGB protein	Raw common support
BioLiP/MOAD	hgb_protein	HGB protein only	affinity_and_cold_poststratified	1382	18	1.47589857039932	-0.00675364409159698	0.216865679455698	Poststratifies observed affinity regime and cold category only; target-family confounding remains because exact proteins do not overlap	HGB protein	Poststratified
BioLiP/MOAD	hgb_fusion_additive	HGB additive fusion	raw_common_support	1382	18	1.33926880717564	-0.333686851971507	0.434844253869656	Poststratifies observed affinity regime and cold category only; target-family confounding remains because exact proteins do not overlap	HGB additive	Raw common support
BioLiP/MOAD	hgb_fusion_additive	HGB additive fusion	affinity_and_cold_poststratified	1382	18	1.30133811934248	-0.181314095148436	0.424093615843692	Poststratifies observed affinity regime and cold category only; target-family confounding remains because exact proteins do not overlap	HGB additive	Poststratified
BioLiP/MOAD	hgb_fusion_interaction	HGB interaction fusion	raw_common_support	1382	18	1.34785670832168	-0.325098950825467	0.436091393961135	Poststratifies observed affinity regime and cold category only; target-family confounding remains because exact proteins do not overlap	HGB interaction	Raw common support
BioLiP/MOAD	hgb_fusion_interaction	HGB interaction fusion	affinity_and_cold_poststratified	1382	18	1.30481013842078	-0.177842076070138	0.423836865142222	Poststratifies observed affinity regime and cold category only; target-family confounding remains because exact proteins do not overlap	HGB interaction	Poststratified
BioLiP/MOAD	phase15_esm2_aft_frozen	Frozen ESM2-AFT	raw_common_support	1382	18	1.31201059993551	-0.360945059211637	0.426827729233303	Poststratifies observed affinity regime and cold category only; target-family confounding remains because exact proteins do not overlap	Frozen ESM2-AFT	Raw common support
BioLiP/MOAD	phase15_esm2_aft_frozen	Frozen ESM2-AFT	affinity_and_cold_poststratified	1382	18	1.28778332752606	-0.194868886964851	0.451032995365384	Poststratifies observed affinity regime and cold category only; target-family confounding remains because exact proteins do not overlap	Frozen ESM2-AFT	Poststratified
ChEMBL37	hgb_molecule	HGB ligand only	raw_common_support	25177	18	1.18786500614111	0.0119083880479165	0.156015705942347	Poststratifies observed affinity regime and cold category only; target-family confounding remains because exact proteins do not overlap	HGB ligand	Raw common support
ChEMBL37	hgb_molecule	HGB ligand only	affinity_and_cold_poststratified	25177	18	1.2310475699038	-0.0279907508682061	0.227360522764799	Poststratifies observed affinity regime and cold category only; target-family confounding remains because exact proteins do not overlap	HGB ligand	Poststratified
ChEMBL37	hgb_protein	HGB protein only	raw_common_support	25177	18	1.22903837200692	0.0530817539137215	0.11804356993015	Poststratifies observed affinity regime and cold category only; target-family confounding remains because exact proteins do not overlap	HGB protein	Raw common support
ChEMBL37	hgb_protein	HGB protein only	affinity_and_cold_poststratified	25177	18	1.3614877682734	0.102449447501392	0.134682524572051	Poststratifies observed affinity regime and cold category only; target-family confounding remains because exact proteins do not overlap	HGB protein	Poststratified
ChEMBL37	hgb_fusion_additive	HGB additive fusion	raw_common_support	25177	18	1.15707587396919	-0.018880744124006	0.215722608567807	Poststratifies observed affinity regime and cold category only; target-family confounding remains because exact proteins do not overlap	HGB additive	Raw common support
ChEMBL37	hgb_fusion_additive	HGB additive fusion	affinity_and_cold_poststratified	25177	18	1.25750673222279	-0.00153158854921101	0.288816831064386	Poststratifies observed affinity regime and cold category only; target-family confounding remains because exact proteins do not overlap	HGB additive	Poststratified
ChEMBL37	hgb_fusion_interaction	HGB interaction fusion	raw_common_support	25177	18	1.15442461346079	-0.0215320046324068	0.206536063756902	Poststratifies observed affinity regime and cold category only; target-family confounding remains because exact proteins do not overlap	HGB interaction	Raw common support
ChEMBL37	hgb_fusion_interaction	HGB interaction fusion	affinity_and_cold_poststratified	25177	18	1.25852461359137	-0.00051370718064468	0.281987773250775	Poststratifies observed affinity regime and cold category only; target-family confounding remains because exact proteins do not overlap	HGB interaction	Poststratified
ChEMBL37	phase15_esm2_aft_frozen	Frozen ESM2-AFT	raw_common_support	25177	18	1.21605015421306	0.0400935361198577	0.205814409303606	Poststratifies observed affinity regime and cold category only; target-family confounding remains because exact proteins do not overlap	Frozen ESM2-AFT	Raw common support
ChEMBL37	phase15_esm2_aft_frozen	Frozen ESM2-AFT	affinity_and_cold_poststratified	25177	18	1.32556399425603	0.0665256734840171	0.259365636732585	Poststratifies observed affinity regime and cold category only; target-family confounding remains because exact proteins do not overlap	Frozen ESM2-AFT	Poststratified
