source	model_id	affinity_regime	mae	n	model_label_plot
ChEMBL37	hgb_molecule	<5	1.59815455624522	3529	HGB ligand
ChEMBL37	hgb_molecule	6-<7	0.577205410349631	6357	HGB ligand
ChEMBL37	hgb_molecule	7-<8	1.08592349615905	5212	HGB ligand
ChEMBL37	hgb_molecule	5-<6	0.886161053034087	6225	HGB ligand
ChEMBL37	hgb_molecule	>=8	2.33511053791866	4113	HGB ligand
BioLiP/MOAD	hgb_molecule	>=8	2.75338015494731	103	HGB ligand
BioLiP/MOAD	hgb_molecule	6-<7	1.0033295466351	220	HGB ligand
BioLiP/MOAD	hgb_molecule	7-<8	1.5096859942679	158	HGB ligand
BioLiP/MOAD	hgb_molecule	5-<6	0.523789729568445	256	HGB ligand
BioLiP/MOAD	hgb_molecule	<5	1.41125212392345	645	HGB ligand
ChEMBL37	hgb_protein	<5	1.97577450672812	3529	HGB protein
ChEMBL37	hgb_protein	6-<7	0.598023482471932	6357	HGB protein
ChEMBL37	hgb_protein	7-<8	0.950206125898488	5212	HGB protein
ChEMBL37	hgb_protein	5-<6	1.08803406539786	6225	HGB protein
ChEMBL37	hgb_protein	>=8	2.09946981705341	4113	HGB protein
BioLiP/MOAD	hgb_protein	>=8	2.15029884961711	103	HGB protein
BioLiP/MOAD	hgb_protein	6-<7	0.673835933036028	220	HGB protein
BioLiP/MOAD	hgb_protein	7-<8	1.02541266448721	158	HGB protein
BioLiP/MOAD	hgb_protein	5-<6	0.835844565165533	256	HGB protein
BioLiP/MOAD	hgb_protein	<5	2.34357185330855	645	HGB protein
ChEMBL37	hgb_fusion_additive	<5	1.80006891142175	3529	HGB additive
ChEMBL37	hgb_fusion_additive	6-<7	0.548162217952938	6357	HGB additive
ChEMBL37	hgb_fusion_additive	7-<8	0.878046514922503	5212	HGB additive
ChEMBL37	hgb_fusion_additive	5-<6	1.03867218648398	6225	HGB additive
ChEMBL37	hgb_fusion_additive	>=8	2.044126429397	4113	HGB additive
BioLiP/MOAD	hgb_fusion_additive	>=8	2.41156361440011	103	HGB additive
BioLiP/MOAD	hgb_fusion_additive	6-<7	0.802741494093622	220	HGB additive
BioLiP/MOAD	hgb_fusion_additive	7-<8	1.23712003506378	158	HGB additive
BioLiP/MOAD	hgb_fusion_additive	5-<6	0.56266332645172	256	HGB additive
BioLiP/MOAD	hgb_fusion_additive	<5	1.68429229987784	645	HGB additive
ChEMBL37	hgb_fusion_interaction	<5	1.80681092901975	3529	HGB interaction
ChEMBL37	hgb_fusion_interaction	6-<7	0.517461231780212	6357	HGB interaction
ChEMBL37	hgb_fusion_interaction	7-<8	0.872995808039748	5212	HGB interaction
ChEMBL37	hgb_fusion_interaction	5-<6	1.03326003365172	6225	HGB interaction
ChEMBL37	hgb_fusion_interaction	>=8	2.08388795848291	4113	HGB interaction
BioLiP/MOAD	hgb_fusion_interaction	>=8	2.39790619387428	103	HGB interaction
BioLiP/MOAD	hgb_fusion_interaction	6-<7	0.778313202301627	220	HGB interaction
BioLiP/MOAD	hgb_fusion_interaction	7-<8	1.22048091198911	158	HGB interaction
BioLiP/MOAD	hgb_fusion_interaction	5-<6	0.56465603845077	256	HGB interaction
BioLiP/MOAD	hgb_fusion_interaction	<5	1.71649116044569	645	HGB interaction
ChEMBL37	phase15_esm2_aft_frozen	<5	1.82392654894266	3529	Frozen ESM2-AFT
ChEMBL37	phase15_esm2_aft_frozen	6-<7	0.719474731237911	6357	Frozen ESM2-AFT
ChEMBL37	phase15_esm2_aft_frozen	7-<8	0.880115136030138	5212	Frozen ESM2-AFT
ChEMBL37	phase15_esm2_aft_frozen	5-<6	1.17569370672502	6225	Frozen ESM2-AFT
ChEMBL37	phase15_esm2_aft_frozen	>=8	1.9173090146178	4113	Frozen ESM2-AFT
BioLiP/MOAD	phase15_esm2_aft_frozen	>=8	2.3121568614122	103	Frozen ESM2-AFT
BioLiP/MOAD	phase15_esm2_aft_frozen	6-<7	0.907982001236882	220	Frozen ESM2-AFT
BioLiP/MOAD	phase15_esm2_aft_frozen	7-<8	1.25263827377406	158	Frozen ESM2-AFT
BioLiP/MOAD	phase15_esm2_aft_frozen	5-<6	0.619860187830534	256	Frozen ESM2-AFT
BioLiP/MOAD	phase15_esm2_aft_frozen	<5	1.57936340584866	645	Frozen ESM2-AFT
