source	subgroup_type	subgroup	n	coverage_90	empirical_q90_half_width	fixed_half_width	half_width_inflation
ChEMBL37	affinity_regime	<5	3529	0.34712383111363	2.94868543575221	1.45587125376538	2.02537513404836
ChEMBL37	affinity_regime	6-<7	6357	0.907660846311153	1.43047397326438	1.45587125376538	0.982555270299269
ChEMBL37	affinity_regime	7-<8	5212	0.820414428242517	1.76612305546388	1.45587125376538	1.21310387226623
ChEMBL37	affinity_regime	5-<6	6225	0.655261044176707	2.16236419959351	1.45587125376538	1.48527158153641
ChEMBL37	affinity_regime	>=8	4113	0.347678093848773	3.1932072068349	1.45587125376538	2.19333076230207
BioLiP/MOAD	affinity_regime	>=8	103	0.233009708737864	3.58561850539378	1.45587125376538	2.46286785051916
BioLiP/MOAD	affinity_regime	6-<7	220	0.818181818181818	1.70065217299389	1.45587125376538	1.16813363035737
BioLiP/MOAD	affinity_regime	7-<8	158	0.651898734177215	2.31725692868329	1.45587125376538	1.59166335806829
BioLiP/MOAD	affinity_regime	5-<6	256	0.9375	1.26265334166839	1.45587125376538	0.867283654651973
BioLiP/MOAD	affinity_regime	<5	645	0.528682170542636	3.04202453049479	1.45587125376538	2.08948732425829
