source	requested_label_budget	repeats	median_calibration_n	median_calibration_document_components	median_half_width	half_width_q025	half_width_q975	median_test_coverage	coverage_q025	coverage_q975	analysis_role
BioLiP/MOAD	50	100	51	21	2.76227453233858	1.78704160957193	3.93770628000241	0.900487170115269	0.719894894894895	0.987978963185575	Retrospective document-disjoint diagnostic repair curve; not confirmatory
BioLiP/MOAD	100	100	101	38.5	2.7063137508761	2.1748042283243	3.69147702480357	0.892269768915757	0.798634945397816	0.977520143158667	Retrospective document-disjoint diagnostic repair curve; not confirmatory
BioLiP/MOAD	250	100	251	97	2.73524157768521	2.28309555775663	3.15143133926911	0.895713634077226	0.813077634264645	0.954155614500442	Retrospective document-disjoint diagnostic repair curve; not confirmatory
BioLiP/MOAD	500	100	501	189	2.77141360137921	2.41356950376571	3.04658556023081	0.899826998689384	0.829490053016618	0.954171949082663	Retrospective document-disjoint diagnostic repair curve; not confirmatory
ChEMBL37	50	100	55	10	2.33230956409573	1.51319000737435	3.80185169041361	0.885063279828756	0.679402267360923	0.991845425507071	Retrospective document-disjoint diagnostic repair curve; not confirmatory
ChEMBL37	100	100	105.5	18	2.45952699217508	1.60751970408791	3.94174774148871	0.904954773296619	0.708058821727525	0.99453703787757	Retrospective document-disjoint diagnostic repair curve; not confirmatory
ChEMBL37	250	100	256	42.5	2.44928663463597	1.85652112941964	3.06413809535326	0.903269973608339	0.783070607672524	0.967470145818397	Retrospective document-disjoint diagnostic repair curve; not confirmatory
ChEMBL37	500	100	510	74	2.468793286649	1.91319207352049	2.93952305109718	0.906715385018187	0.796268996155626	0.959050664108151	Retrospective document-disjoint diagnostic repair curve; not confirmatory
ChEMBL37	1000	100	1015	141.5	2.44614577652133	2.12143499572431	2.89141388708889	0.902916820969861	0.839550371769186	0.95600663035387	Retrospective document-disjoint diagnostic repair curve; not confirmatory
ChEMBL37	2500	100	2519	320	2.4839406362606	2.23297688303314	2.76444729260423	0.909741033239962	0.861457404153186	0.947954024997815	Retrospective document-disjoint diagnostic repair curve; not confirmatory
ChEMBL37	5000	100	5037.5	572.5	2.45195664279097	2.23968520248173	2.68145522429944	0.904807930904194	0.857643290344809	0.943330882440425	Retrospective document-disjoint diagnostic repair curve; not confirmatory
