outcome	model	term	estimate	standard_error	ci95_lower	ci95_upper	n	inference_unit
delta_error	unadjusted	(Intercept)	0.0407182631415287	0.0575870879328063	-0.0721524292067716	0.153588955489829	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
delta_error	unadjusted	ligand_novelty_z	-0.0912567403609272	0.0147278663396578	-0.120123358386656	-0.0623901223351979	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
delta_error	unadjusted	protein_novelty_z	0.016941067979586	0.0269353903027325	-0.0358522970137697	0.0697344329729418	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
delta_error	unadjusted	ligand_novelty_z:protein_novelty_z	-0.000768576839685774	0.0140585214668517	-0.0283232789147151	0.0267861252353436	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
delta_error	category_adjusted	(Intercept)	-0.00311375572760802	0.0883913305883573	-0.176360763680788	0.170133252225572	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
delta_error	category_adjusted	categoryTarget cold	0.074264009074242	0.108639755000991	-0.138669910727699	0.287197928876183	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
delta_error	category_adjusted	categoryNew relation	0.132601955110355	0.0710881207600738	-0.00673076157938915	0.2719346718001	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
delta_error	category_adjusted	categoryDouble cold	0.0580175298696781	0.0787630741693643	-0.0963580955022759	0.212393155241632	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
delta_error	category_adjusted	ligand_novelty_z	-0.0833021100337436	0.020209956919736	-0.122913625596426	-0.043690594471061	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
delta_error	category_adjusted	protein_novelty_z	0.00603077894935351	0.0214266544398403	-0.0359654637527334	0.0480270216514404	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
delta_error	category_adjusted	ligand_novelty_z:protein_novelty_z	-0.00519213209697839	0.0138536134646377	-0.0323452144876683	0.0219609502937115	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
model_error	category_adjusted	(Intercept)	1.21824166045596	0.0417699719627576	1.13637251540895	1.30011080550296	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
model_error	category_adjusted	categoryTarget cold	0.0694714078760472	0.0842877854082286	-0.0957326515240807	0.234675467276175	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
model_error	category_adjusted	categoryNew relation	-0.0466898873553076	0.0825118458438989	-0.208413105209349	0.115033330498734	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
model_error	category_adjusted	categoryDouble cold	-0.0184433655879859	0.049163570662568	-0.114803964086619	0.0779172329106475	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
model_error	category_adjusted	ligand_novelty_z	0.0311485441882237	0.0155129793299064	0.00074310470160718	0.0615539836748402	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
model_error	category_adjusted	protein_novelty_z	-0.0114985723192618	0.0169794516711743	-0.0447782975947634	0.0217811529562399	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
model_error	category_adjusted	ligand_novelty_z:protein_novelty_z	-0.0162378860716807	0.0155595391095483	-0.0467345827263953	0.0142588105830339	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
interval_covered	category_adjusted_linear_probability	(Intercept)	0.669897640641425	0.0189333842866396	0.632788207439612	0.707007073843239	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
interval_covered	category_adjusted_linear_probability	categoryTarget cold	-0.0483346019386543	0.0377579248776171	-0.122340134698784	0.0256709308214751	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
interval_covered	category_adjusted_linear_probability	categoryNew relation	0.0161489062636076	0.0364322238625225	-0.0552582525069364	0.0875560650341517	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
interval_covered	category_adjusted_linear_probability	categoryDouble cold	-0.0113357855855653	0.0232648003408413	-0.0569347942536143	0.0342632230824837	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
interval_covered	category_adjusted_linear_probability	ligand_novelty_z	-0.0117384397780638	0.00708075234396841	-0.0256167143722418	0.00213983481611432	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
interval_covered	category_adjusted_linear_probability	protein_novelty_z	0.0117547598654457	0.00740286821776893	-0.0027548618413814	0.0262643815722728	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
interval_covered	category_adjusted_linear_probability	ligand_novelty_z:protein_novelty_z	0.00817489337544529	0.00661206890988477	-0.00478476168792885	0.0211345484388194	25436	frozen_scaffold_id + protein_identity_cluster_id + document_component_id
