external_cold_category	category	outcome	inference_scheme	cluster_variables	n	estimate	standard_error	ci95_lower	ci95_upper	scaffold_clusters	protein_clusters	primary_documents	document_components
drug_cold	Ligand cold	delta_mae	Pair-level HC1	none	7378	-0.0226812394874171	0.0111721715513776	-0.0445786957281172	-0.000783783246717067	2196	117	822	705
drug_cold	Ligand cold	coverage_90	Pair-level HC1	none	7378	0.658308484684165	0.00552194316037112	0.647485476089838	0.669131493278493	2196	117	822	705
drug_cold	Ligand cold	mean_bias	Pair-level HC1	none	7378	-0.161449939686469	0.0177774458932512	-0.196293733637241	-0.126606145735696	2196	117	822	705
drug_cold	Ligand cold	calibration_slope	Pair-level HC1	none	7378	0.409881164745095	0.0157024758752543	0.379104312029597	0.440658017460593	2196	117	822	705
drug_cold	Ligand cold	delta_mae	Scaffold + protein	frozen_scaffold_id + protein_identity_cluster_id	7378	-0.0226812394874171	0.0789685918088368	-0.177459679432737	0.132097200457903	2196	117	822	705
drug_cold	Ligand cold	coverage_90	Scaffold + protein	frozen_scaffold_id + protein_identity_cluster_id	7378	0.658308484684165	0.0213433245397135	0.616475568586327	0.700141400782004	2196	117	822	705
drug_cold	Ligand cold	mean_bias	Scaffold + protein	frozen_scaffold_id + protein_identity_cluster_id	7378	-0.161449939686469	0.142261315767356	-0.440282118590486	0.117382239217549	2196	117	822	705
drug_cold	Ligand cold	calibration_slope	Scaffold + protein	frozen_scaffold_id + protein_identity_cluster_id	7378	0.409881164745095	0.0703707251861074	0.271954543380325	0.547807786109865	2196	117	822	705
drug_cold	Ligand cold	delta_mae	Primary document	primary_document_id	7378	-0.0226812394874171	0.0653128435388893	-0.15069441282364	0.105331933848806	2196	117	822	705
drug_cold	Ligand cold	coverage_90	Primary document	primary_document_id	7378	0.658308484684165	0.0189028876497568	0.621258824890642	0.695358144477689	2196	117	822	705
drug_cold	Ligand cold	mean_bias	Primary document	primary_document_id	7378	-0.161449939686469	0.135242189468737	-0.426524631045194	0.103624751672256	2196	117	822	705
drug_cold	Ligand cold	calibration_slope	Primary document	primary_document_id	7378	0.409881164745095	0.0647500594260755	0.282971048269987	0.536791281220203	2196	117	822	705
drug_cold	Ligand cold	delta_mae	Scaffold + protein + primary document	frozen_scaffold_id + protein_identity_cluster_id + primary_document_id	7378	-0.0226812394874171	0.0886528312736665	-0.196440788783803	0.151078309808969	2196	117	822	705
drug_cold	Ligand cold	coverage_90	Scaffold + protein + primary document	frozen_scaffold_id + protein_identity_cluster_id + primary_document_id	7378	0.658308484684165	0.0216070441801365	0.615958678091098	0.700658291277233	2196	117	822	705
drug_cold	Ligand cold	mean_bias	Scaffold + protein + primary document	frozen_scaffold_id + protein_identity_cluster_id + primary_document_id	7378	-0.161449939686469	0.173026611286147	-0.500582097807317	0.177682218434379	2196	117	822	705
drug_cold	Ligand cold	calibration_slope	Scaffold + protein + primary document	frozen_scaffold_id + protein_identity_cluster_id + primary_document_id	7378	0.409881164745095	0.0761862480564626	0.260556118554428	0.559206210935762	2196	117	822	705
drug_cold	Ligand cold	delta_mae	Scaffold + protein + document component	frozen_scaffold_id + protein_identity_cluster_id + document_component_id	7378	-0.0226812394874171	0.0994219893825629	-0.21754833867724	0.172185859702406	2196	117	822	705
drug_cold	Ligand cold	coverage_90	Scaffold + protein + document component	frozen_scaffold_id + protein_identity_cluster_id + document_component_id	7378	0.658308484684165	0.0185236419743633	0.622002146414413	0.694614822953917	2196	117	822	705
drug_cold	Ligand cold	mean_bias	Scaffold + protein + document component	frozen_scaffold_id + protein_identity_cluster_id + document_component_id	7378	-0.161449939686469	0.185568392866534	-0.525163989704875	0.202264110331938	2196	117	822	705
drug_cold	Ligand cold	calibration_slope	Scaffold + protein + document component	frozen_scaffold_id + protein_identity_cluster_id + document_component_id	7378	0.409881164745095	0.0894292591366688	0.234599816837224	0.585162512652966	2196	117	822	705
protein_identity_cold	Target cold	delta_mae	Pair-level HC1	none	1802	0.180900795638708	0.020083222867469	0.141537678818469	0.220263912458947	146	340	290	251
protein_identity_cold	Target cold	coverage_90	Pair-level HC1	none	1802	0.639289678135397	0.0113154355364586	0.617111424483938	0.661467931786856	146	340	290	251
protein_identity_cold	Target cold	mean_bias	Pair-level HC1	none	1802	0.50741938294991	0.0340503875089894	0.44068062343229	0.574158142467529	146	340	290	251
protein_identity_cold	Target cold	calibration_slope	Pair-level HC1	none	1802	0.367650291711297	0.0375742093070472	0.294004841469485	0.44129574195311	146	340	290	251
protein_identity_cold	Target cold	delta_mae	Scaffold + protein	frozen_scaffold_id + protein_identity_cluster_id	1802	0.180900795638708	0.0836581166036329	0.0169308870955877	0.344870704181829	146	340	290	251
protein_identity_cold	Target cold	coverage_90	Scaffold + protein	frozen_scaffold_id + protein_identity_cluster_id	1802	0.639289678135397	0.0295314070110075	0.581408120393822	0.697171235876971	146	340	290	251
protein_identity_cold	Target cold	mean_bias	Scaffold + protein	frozen_scaffold_id + protein_identity_cluster_id	1802	0.50741938294991	0.135275242204136	0.242279908229804	0.772558857670015	146	340	290	251
protein_identity_cold	Target cold	calibration_slope	Scaffold + protein	frozen_scaffold_id + protein_identity_cluster_id	1802	0.367650291711297	0.0968600471122964	0.177804599371196	0.557495984051398	146	340	290	251
protein_identity_cold	Target cold	delta_mae	Primary document	primary_document_id	1802	0.180900795638708	0.146624242326773	-0.106482719321767	0.468284310599183	146	340	290	251
protein_identity_cold	Target cold	coverage_90	Primary document	primary_document_id	1802	0.639289678135397	0.025355964676365	0.589591987369721	0.688987368901072	146	340	290	251
