variant	cold_category	repeats	pooled_assessments	unique_rows	unique_documents	mean_repeat_document_macro_mae	median_repeat_spearman	mean_repeat_document_macro_coverage	coverage_document_bootstrap_ci_low	coverage_document_bootstrap_ci_high	mean_repeat_document_macro_width	mean_repeat_document_macro_interval_score	core_mae	mae_improvement	variant_label	category_label
core_reference	protein_identity_cold	5	1183	315	71	1.44360315415822	0.118647762923861	0.941591300634064	0.867558075650091	0.969038032299105	6.76324741842364	7.68171960490695	1.44360315415822	0	Core	Protein cold
core_reference	strict_double_cold	5	4280	1147	152	1.49454485704025	0.128794278928067	0.92474827551219	0.90179701998008	0.954780875772159	6.72645060293438	7.97463041411833	1.49454485704025	0	Core	Double cold
source_balanced_assay_context	protein_identity_cold	5	1183	315	71	1.40491493676721	0.149077620937674	0.936130480671051	0.884588231141233	0.972298033249012	6.70186693134847	7.57515924038928	1.44360315415822	2.67997595319549	Assay context	Protein cold
source_balanced_assay_context	strict_double_cold	5	4280	1147	152	1.49867020264941	0.158283578191563	0.916551984237022	0.896300990274338	0.95190130679632	6.66868031126207	7.93135836042874	1.49454485704025	-0.276026884688885	Assay context	Double cold
source_balanced_provenance	protein_identity_cold	5	1183	315	71	1.41421245342502	0.125724760935097	0.943478598115659	0.901205576252313	0.975433995326854	6.64095103111733	7.51653528679185	1.44360315415822	2.03592660826101	Coarse provenance	Protein cold
source_balanced_provenance	strict_double_cold	5	4280	1147	152	1.503324274986	0.13828674995772	0.914327665370081	0.894781357184606	0.949265020647613	6.58192052477734	7.95744094490187	1.49454485704025	-0.587430875988626	Coarse provenance	Double cold
source_balanced_provenance_context	protein_identity_cold	5	1183	315	71	1.39642546669773	0.13445934924419	0.938162409228199	0.886672001825888	0.97487817904002	6.68608482894321	7.55789814406524	1.44360315415822	3.26805101004393	Provenance + context	Protein cold
source_balanced_provenance_context	strict_double_cold	5	4280	1147	152	1.50193958067525	0.106487072424984	0.911261498375742	0.891196664593211	0.949201774930792	6.65375751664052	8.03943136343519	1.49454485704025	-0.494780976306397	Provenance + context	Double cold
source_balanced_provenance_context_permuted_context	protein_identity_cold	5	1183	315	71	1.38666151471035	0.176083434469227	0.93399202332755	0.8814068097909	0.971124611567877	6.70396236582305	7.50607595241431	1.44360315415822	3.94441085029842	Joint permutation	Protein cold
source_balanced_provenance_context_permuted_context	strict_double_cold	5	4280	1147	152	1.50459626626382	0.11753691159726	0.919029147486884	0.900095830580348	0.952574742090136	6.68079967381866	7.96750175321211	1.49454485704025	-0.672539815464357	Joint permutation	Double cold
source_balanced_reference	protein_identity_cold	5	1183	315	71	1.40642582936954	0.178589104518163	0.923562834704282	0.869598716986508	0.963386272073656	6.54393045954851	7.6225872450188	1.44360315415822	2.57531473809788	Source-balanced	Protein cold
source_balanced_reference	strict_double_cold	5	4280	1147	152	1.50787618338729	0.13198111328255	0.908288966186829	0.883799684368624	0.944332927099668	6.51030677020842	8.01830621981174	1.49454485704025	-0.891999078130135	Source-balanced	Double cold
