pattern	N	fraction
Buffer + pH + Temp	227	0.130685089234312
Enz	173	0.0995970063327576
Bind	106	0.0610247553252735
No eligible mention	84	0.0483592400690846
Bind + Fluor + Comp	81	0.0466321243523316
Enz + Bind + SPR + Buffer + pH + Temp	79	0.0454807138744963
Bind + Fluor	72	0.0414507772020725
Fluor + Buffer + pH + Temp + Time	72	0.0414507772020725
Bind + Comp	70	0.0402993667242372
Enz + Bind	61	0.0351180195739781
SPR	39	0.0224525043177893
Enz + Bind + Radio + Time	35	0.0201496833621186
Bind + ITC + Buffer + pH + Time	33	0.0189982728842832
Bind + Radio + Time	25	0.0143926309729419
Bind + SPR	24	0.0138169257340242
Comp	24	0.0138169257340242
Fluor + Buffer + pH + Time	22	0.0126655152561888
Enz + Bind + Fluor + Comp	21	0.0120898100172712
Enz + Fluor + Time	21	0.0120898100172712
Enz + Bind + SPR + Time	21	0.0120898100172712
Bind + Time	20	0.0115141047783535
ITC + Buffer + pH	19	0.0109383995394358
ITC + Buffer + pH + Temp	18	0.0103626943005181
Bind + Radio + Buffer + pH + Temp + Time	18	0.0103626943005181
Bind + SPR + Buffer + pH	16	0.00921128382268279
Bind + Radio + Comp + Buffer + pH + Temp + Time	16	0.00921128382268279
Enz + Fluor	15	0.00863557858376511
Enz + Buffer + pH + Temp	15	0.00863557858376511
Bind + ITC + Buffer + pH + Temp + Time	14	0.00805987334484744
Fluor + Temp + Time	13	0.00748416810592976
Enz + Bind + Buffer	12	0.00690846286701209
Fluor	11	0.00633275762809442
Buffer + pH	11	0.00633275762809442
Fluor + Buffer	11	0.00633275762809442
Buffer	11	0.00633275762809442
Bind + SPR + Buffer + pH + Time	10	0.00575705238917674
Enz + Buffer + pH	10	0.00575705238917674
Bind + Comp + Buffer + pH + Time	10	0.00575705238917674
Enz + ITC + Buffer + pH + Temp	10	0.00575705238917674
Enz + Bind + Fluor + Time	9	0.00518134715025907
Enz + Bind + Comp	9	0.00518134715025907
Enz + Temp	7	0.00402993667242372
Bind + Buffer + Temp + Time	7	0.00402993667242372
Bind + Fluor + Buffer + pH + Temp + Time	7	0.00402993667242372
SPR + pH + Time	7	0.00402993667242372
Enz + Radio + pH + Time	6	0.00345423143350605
Bind + Temp + Time	6	0.00345423143350605
Time	6	0.00345423143350605
Bind + Fluor + Buffer + pH + Temp	6	0.00345423143350605
Enz + Bind + Fluor + Comp + Time	5	0.00287852619458837
Enz + Temp + Time	5	0.00287852619458837
Bind + SPR + Time	5	0.00287852619458837
Bind + Comp + pH + Time	5	0.00287852619458837
Enz + Buffer + Temp	5	0.00287852619458837
Enz + SPR + Buffer + pH	4	0.0023028209556707
Bind + ITC + Buffer + pH + Temp	4	0.0023028209556707
Bind + Buffer + pH + Temp	4	0.0023028209556707
Enz + Fluor + Temp + Time	4	0.0023028209556707
Bind + Radio + Buffer + pH + Time	4	0.0023028209556707
Radio + Buffer + pH + Temp + Time	4	0.0023028209556707
Radio + Buffer + pH + Time	4	0.0023028209556707
Enz + Bind + Fluor + Buffer	4	0.0023028209556707
Fluor + Time	3	0.00172711571675302
Radio	3	0.00172711571675302
Bind + Buffer + pH + Time	3	0.00172711571675302
Bind + Fluor + Comp + pH	3	0.00172711571675302
Fluor + Buffer + Time	3	0.00172711571675302
Enz + ITC	3	0.00172711571675302
Enz + Buffer	3	0.00172711571675302
Bind + Fluor + pH + Time	3	0.00172711571675302
Enz + Bind + Fluor + Temp + Time	3	0.00172711571675302
Enz + Bind + Buffer + pH	3	0.00172711571675302
Temp + Time	2	0.00115141047783535
Fluor + Comp + Temp + Time	2	0.00115141047783535
Enz + Bind + Fluor	2	0.00115141047783535
Enz + Fluor + Buffer + pH	2	0.00115141047783535
Enz + Buffer + pH + Temp + Time	2	0.00115141047783535
Bind + ITC + Buffer	2	0.00115141047783535
Fluor + Buffer + pH + Temp	2	0.00115141047783535
pH	2	0.00115141047783535
Enz + Bind + Fluor + Comp + Buffer + Time	2	0.00115141047783535
Temp	2	0.00115141047783535
Buffer + pH + Time	2	0.00115141047783535
Enz + Fluor + Buffer + pH + Time	2	0.00115141047783535
Enz + Bind + Time	1	0.000575705238917674
ITC + pH + Temp	1	0.000575705238917674
SPR + Temp	1	0.000575705238917674
Bind + Fluor + Comp + Buffer + pH + Time	1	0.000575705238917674
Bind + SPR + pH	1	0.000575705238917674
Enz + Bind + Buffer + pH + Temp + Time	1	0.000575705238917674
