descriptor_x	descriptor_y	phi	x_order	y_order	descriptor_x_label	descriptor_y_label
endpoint_enzyme_inhibition	endpoint_enzyme_inhibition	1	1	1	Enz	Enz
endpoint_direct_binding	endpoint_enzyme_inhibition	-0.00412994653485754	2	1	Bind	Enz
detection_fluorescence	endpoint_enzyme_inhibition	-0.11254793354966	3	1	Fluor	Enz
detection_radiometric	endpoint_enzyme_inhibition	0.0211316000939145	4	1	Radio	Enz
detection_surface_plasmon_resonance	endpoint_enzyme_inhibition	0.144276466971188	5	1	SPR	Enz
detection_calorimetry	endpoint_enzyme_inhibition	-0.105274795425607	6	1	ITC	Enz
format_competition_or_displacement	endpoint_enzyme_inhibition	-0.149948055739126	7	1	Comp	Enz
context_buffer	endpoint_enzyme_inhibition	-0.186790809716224	8	1	Buffer	Enz
context_ph	endpoint_enzyme_inhibition	-0.212901743582335	9	1	pH	Enz
context_temperature	endpoint_enzyme_inhibition	-0.124251733395283	10	1	Temp	Enz
context_incubation_or_time	endpoint_enzyme_inhibition	-0.0703796790556068	11	1	Time	Enz
endpoint_direct_binding	endpoint_direct_binding	1	2	2	Bind	Bind
detection_fluorescence	endpoint_direct_binding	0.0646471944904907	3	2	Fluor	Bind
detection_radiometric	endpoint_direct_binding	0.195136277001846	4	2	Radio	Bind
detection_surface_plasmon_resonance	endpoint_direct_binding	0.197031681092774	5	2	SPR	Bind
detection_calorimetry	endpoint_direct_binding	0.0119768913961284	6	2	ITC	Bind
format_competition_or_displacement	endpoint_direct_binding	0.335315300723692	7	2	Comp	Bind
context_buffer	endpoint_direct_binding	-0.213964763025835	8	2	Buffer	Bind
context_ph	endpoint_direct_binding	-0.214277072621692	9	2	pH	Bind
context_temperature	endpoint_direct_binding	-0.260721961440457	10	2	Temp	Bind
context_incubation_or_time	endpoint_direct_binding	0.127444802054759	11	2	Time	Bind
detection_fluorescence	detection_fluorescence	1	3	3	Fluor	Fluor
detection_radiometric	detection_fluorescence	-0.146115365554965	4	3	Radio	Fluor
detection_surface_plasmon_resonance	detection_fluorescence	-0.201842144153904	5	3	SPR	Fluor
detection_calorimetry	detection_fluorescence	-0.138482843036321	6	3	ITC	Fluor
format_competition_or_displacement	detection_fluorescence	0.223487383402799	7	3	Comp	Fluor
context_buffer	detection_fluorescence	-0.0873037368723298	8	3	Buffer	Fluor
context_ph	detection_fluorescence	-0.106386846573805	9	3	pH	Fluor
context_temperature	detection_fluorescence	-0.0582257762644045	10	3	Temp	Fluor
context_incubation_or_time	detection_fluorescence	0.216687854505599	11	3	Time	Fluor
detection_radiometric	detection_radiometric	1	4	4	Radio	Radio
detection_surface_plasmon_resonance	detection_radiometric	-0.0979406433691267	5	4	SPR	Radio
detection_calorimetry	detection_radiometric	-0.0671965649166997	6	4	ITC	Radio
format_competition_or_displacement	detection_radiometric	-0.00320665391546701	7	4	Comp	Radio
context_buffer	detection_radiometric	-0.00629211129582096	8	4	Buffer	Radio
context_ph	detection_radiometric	0.0321442590499589	9	4	pH	Radio
context_temperature	detection_radiometric	0.00557204125231486	10	4	Temp	Radio
context_incubation_or_time	detection_radiometric	0.438468483838186	11	4	Time	Radio
detection_surface_plasmon_resonance	detection_surface_plasmon_resonance	1	5	5	SPR	SPR
detection_calorimetry	detection_surface_plasmon_resonance	-0.0928245889201923	6	5	ITC	SPR
format_competition_or_displacement	detection_surface_plasmon_resonance	-0.150465753824599	7	5	Comp	SPR
context_buffer	detection_surface_plasmon_resonance	0.0859082815691727	8	5	Buffer	SPR
context_ph	detection_surface_plasmon_resonance	0.12952813572418	9	5	pH	SPR
context_temperature	detection_surface_plasmon_resonance	0.0518601306053415	10	5	Temp	SPR
context_incubation_or_time	detection_surface_plasmon_resonance	-0.0403771669758329	11	5	Time	SPR
detection_calorimetry	detection_calorimetry	1	6	6	ITC	ITC
format_competition_or_displacement	detection_calorimetry	-0.103233769422041	7	6	Comp	ITC
context_buffer	detection_calorimetry	0.281991439715556	8	6	Buffer	ITC
context_ph	detection_calorimetry	0.288658371295828	9	6	pH	ITC
context_temperature	detection_calorimetry	0.07096946106742	10	6	Temp	ITC
context_incubation_or_time	detection_calorimetry	0.113572964651702	11	6	Time	ITC
format_competition_or_displacement	format_competition_or_displacement	1	7	7	Comp	Comp
context_buffer	format_competition_or_displacement	-0.245347725392854	8	7	Buffer	Comp
context_ph	format_competition_or_displacement	-0.211581209572748	9	7	pH	Comp
context_temperature	format_competition_or_displacement	-0.217692620580407	10	7	Temp	Comp
context_incubation_or_time	format_competition_or_displacement	-0.0852965428741201	11	7	Time	Comp
context_buffer	context_buffer	1	8	8	Buffer	Buffer
context_ph	context_buffer	0.895357489040565	9	8	pH	Buffer
context_temperature	context_buffer	0.7061131469541	10	8	Temp	Buffer
context_incubation_or_time	context_buffer	0.14545316562454	11	8	Time	Buffer
context_ph	context_ph	1	9	9	pH	pH
context_temperature	context_ph	0.709548302726384	10	9	Temp	pH
context_incubation_or_time	context_ph	0.192963587087416	11	9	Time	pH
context_temperature	context_temperature	1	10	10	Temp	Temp
context_incubation_or_time	context_temperature	0.0950787018641333	11	10	Time	Temp
context_incubation_or_time	context_incubation_or_time	1	11	11	Time	Time
