descriptor	rows_positive	row_fraction	documents_positive	maximum_positive_row_share_from_one_document	effective_positive_document_count	rows_negative_with_description	eligible_for_locked_model_ablation	eligible	short_label
endpoint_enzyme_inhibition	555	0.319516407599309	62	0.142342342342342	22.254533631963	1167	TRUE	TRUE	Enz
endpoint_direct_binding	844	0.485895221646517	89	0.0936018957345972	32.8598579204724	878	TRUE	TRUE	Bind
system_cell_based	67	0.0385722510074842	6	0.358208955223881	3.64662875710804	1655	FALSE	FALSE	Cell
system_membrane_or_receptor	70	0.0402993667242372	7	0.314285714285714	4.95951417004049	1652	FALSE	FALSE	Mem
detection_fluorescence	402	0.231433506044905	49	0.139303482587065	17.8805045364019	1320	TRUE	TRUE	Fluor
detection_radiometric	115	0.0662061024755325	10	0.217391304347826	6.90600522193212	1607	TRUE	TRUE	Radio
detection_surface_plasmon_resonance	207	0.119170984455959	29	0.381642512077295	5.51538164499936	1515	TRUE	TRUE	SPR
detection_calorimetry	104	0.0598733448474381	20	0.259615384615385	8.82218597063622	1618	TRUE	TRUE	ITC
detection_luminescence	7	0.00402993667242372	2	0.571428571428571	1.96	1715	FALSE	FALSE	Lumi
detection_absorbance	91	0.0523891767415084	8	0.296703296703297	4.7347055460263	1631	FALSE	FALSE	Abs
detection_mass_spectrometry	6	0.00345423143350605	1	1	1	1716	FALSE	FALSE	MS
detection_nmr	34	0.0195739781232009	6	0.352941176470588	4.15827338129496	1688	FALSE	FALSE	NMR
detection_immunoassay	21	0.0120898100172712	5	0.333333333333333	4.1214953271028	1701	FALSE	FALSE	Immuno
format_competition_or_displacement	249	0.143350604490501	24	0.216867469879518	10.3767364016736	1473	TRUE	TRUE	Comp
format_kinetic	116	0.0667818077144502	11	0.681034482758621	2.085554866708	1606	FALSE	FALSE	Kinetic
context_buffer	715	0.411629245826137	73	0.300699300699301	8.6359950673176	1007	TRUE	TRUE	Buffer
context_ph	683	0.393206678180771	68	0.314787701317716	7.91289671433176	1039	TRUE	TRUE	pH
context_temperature	557	0.320667818077145	40	0.385996409335727	5.36920893688455	1165	TRUE	TRUE	Temp
context_incubation_or_time	444	0.255613126079447	57	0.126126126126126	23.8490200822647	1278	TRUE	TRUE	Time
