stratum	control	replicate	spearman	mae
all_exact_kd	protein_permutation	0	0.24905352082360954	1.4416060861027125
all_exact_kd	protein_permutation	1	0.1990528931481002	1.4994314411563248
all_exact_kd	protein_permutation	2	0.2654348316860166	1.4393370895623245
all_exact_kd	protein_permutation	3	0.2291442178093753	1.47251922985344
all_exact_kd	protein_permutation	4	0.24904914726179653	1.4508514105411592
all_exact_kd	protein_permutation	5	0.26845733389054377	1.4358151380663904
all_exact_kd	protein_permutation	6	0.21734465894001653	1.4763676067236622
all_exact_kd	protein_permutation	7	0.2544961300977222	1.4486041967342012
all_exact_kd	protein_permutation	8	0.25657331593904015	1.4444872847717805
all_exact_kd	protein_permutation	9	0.27575862533018086	1.4409193143485604
all_exact_kd	protein_permutation	10	0.2845780869363837	1.442377823160008
all_exact_kd	protein_permutation	11	0.236574616936859	1.475293319814288
all_exact_kd	protein_permutation	12	0.23731470128005136	1.466971073426666
all_exact_kd	protein_permutation	13	0.2503295205554714	1.4579791742358283
all_exact_kd	protein_permutation	14	0.24581909682947872	1.4595846838723343
all_exact_kd	protein_permutation	15	0.21447743204152847	1.4845749354629276
all_exact_kd	protein_permutation	16	0.25398788964690866	1.4539497775955477
all_exact_kd	protein_permutation	17	0.24627606301112653	1.4593534797702072
all_exact_kd	protein_permutation	18	0.2389308389946484	1.4584165292962656
all_exact_kd	protein_permutation	19	0.25648593251099416	1.430950646990496
all_exact_kd	protein_permutation	20	0.2504716488108415	1.4615126944350134
all_exact_kd	protein_permutation	21	0.24704538051494143	1.457407474341704
all_exact_kd	protein_permutation	22	0.289860093355604	1.4239923296035857
all_exact_kd	protein_permutation	23	0.20984261129079088	1.4764843387145814
all_exact_kd	protein_permutation	24	0.2739913387304637	1.4312648036662527
all_exact_kd	protein_permutation	25	0.2746920687196698	1.4354287739457312
all_exact_kd	protein_permutation	26	0.24047586844481095	1.4619634081176291
all_exact_kd	protein_permutation	27	0.24318916600701435	1.4614559106157663
all_exact_kd	protein_permutation	28	0.2515708074055645	1.440024283226276
all_exact_kd	protein_permutation	29	0.28902045036306484	1.4257307724816615
all_exact_kd	protein_permutation	30	0.23162510510458473	1.4547703040274336
all_exact_kd	protein_permutation	31	0.29214723162430933	1.4304013725061033
all_exact_kd	protein_permutation	32	0.2351574121550885	1.45505882308729
all_exact_kd	protein_permutation	33	0.23493791913645912	1.4741687780730024
all_exact_kd	protein_permutation	34	0.2280390737153416	1.4727617097045096
all_exact_kd	protein_permutation	35	0.23867664357708326	1.4709212440847388
all_exact_kd	protein_permutation	36	0.26805053633970694	1.426629010912138
all_exact_kd	protein_permutation	37	0.259571756562655	1.4432881290869306
all_exact_kd	protein_permutation	38	0.24309273086773325	1.4515336968571604
all_exact_kd	protein_permutation	39	0.2534752460843491	1.454225256896643
all_exact_kd	protein_permutation	40	0.2512210506149282	1.464739213989557
all_exact_kd	protein_permutation	41	0.21792026625404537	1.476650446565771
all_exact_kd	protein_permutation	42	0.22371211081610587	1.4738386044658338
all_exact_kd	protein_permutation	43	0.24107698169591602	1.452307571675276
all_exact_kd	protein_permutation	44	0.23850462866449415	1.4567303079918865
all_exact_kd	protein_permutation	45	0.22316162572151796	1.4718127495078384
all_exact_kd	protein_permutation	46	0.2918153239216944	1.4237640370516491
all_exact_kd	protein_permutation	47	0.24628383834149434	1.4489087974214179
all_exact_kd	protein_permutation	48	0.26774777599191335	1.4367814274888655
all_exact_kd	protein_permutation	49	0.2320359028921242	1.472609523842121
all_exact_kd	protein_permutation	50	0.2541869534977772	1.4421914793206425
all_exact_kd	protein_permutation	51	0.2692635917584387	1.4402980977763449
all_exact_kd	protein_permutation	52	0.26003438297573095	1.429791925527543
all_exact_kd	protein_permutation	53	0.22260384479457965	1.4789623176041344
all_exact_kd	protein_permutation	54	0.2119764561984239	1.4893175335594664
all_exact_kd	protein_permutation	55	0.2564803692408866	1.440055721919093
