source	stratum	model_a	model_b	n	prediction_spearman	absolute_error_spearman	mean_absolute_prediction_difference
BioLiP/MOAD	overall	hgb_molecule	hgb_protein	1382	0.2463886866737403	0.4354414839842552	1.035293566869684
BioLiP/MOAD	overall	hgb_molecule	hgb_fusion_additive	1382	0.642172706496225	0.7214436271829139	0.5595129020756006
BioLiP/MOAD	overall	hgb_molecule	hgb_fusion_interaction	1382	0.6430053759636818	0.7023867311042195	0.5838726173775274
BioLiP/MOAD	overall	hgb_molecule	phase15_esm2_aft_frozen	1382	0.5506568419159257	0.6600406541962979	0.6403934679367538
BioLiP/MOAD	overall	hgb_protein	hgb_fusion_additive	1382	0.6308297829351444	0.7526303489718835	0.6649376597670504
BioLiP/MOAD	overall	hgb_protein	hgb_fusion_interaction	1382	0.6414524571673462	0.7634614180481767	0.647742001227414
BioLiP/MOAD	overall	hgb_protein	phase15_esm2_aft_frozen	1382	0.5264315317797104	0.6398680551380077	0.8103271736567694
BioLiP/MOAD	overall	hgb_fusion_additive	hgb_fusion_interaction	1382	0.892376014231904	0.9290668951063331	0.2624487334510619
BioLiP/MOAD	overall	hgb_fusion_additive	phase15_esm2_aft_frozen	1382	0.7112297344832929	0.7754828339643526	0.5116846233403406
BioLiP/MOAD	overall	hgb_fusion_interaction	phase15_esm2_aft_frozen	1382	0.704711077106866	0.7718722825000138	0.5151504902793433
BioLiP/MOAD	drug_cold	hgb_molecule	hgb_protein	291	0.4285495504105479	0.40233570295398036	1.0941310752636981
BioLiP/MOAD	drug_cold	hgb_molecule	hgb_fusion_additive	291	0.6454519107701658	0.7085079416880548	0.6842999343783454
BioLiP/MOAD	drug_cold	hgb_molecule	hgb_fusion_interaction	291	0.6526668664190344	0.6703084116387736	0.7170213891540792
BioLiP/MOAD	drug_cold	hgb_molecule	phase15_esm2_aft_frozen	291	0.5838539344005712	0.5773212749568585	0.8351137170543849
BioLiP/MOAD	drug_cold	hgb_protein	hgb_fusion_additive	291	0.7293452241503705	0.7196429291032824	0.570731838716064
BioLiP/MOAD	drug_cold	hgb_protein	hgb_fusion_interaction	291	0.7726407735849864	0.7551231472831074	0.5400869345679133
BioLiP/MOAD	drug_cold	hgb_protein	phase15_esm2_aft_frozen	291	0.7194512294400636	0.7063396098157508	0.6599509254709304
BioLiP/MOAD	drug_cold	hgb_fusion_additive	hgb_fusion_interaction	291	0.9326624265670979	0.9100107402546033	0.265827799372161
BioLiP/MOAD	drug_cold	hgb_fusion_additive	phase15_esm2_aft_frozen	291	0.8192429057030672	0.7887633207721987	0.45353695902418495
BioLiP/MOAD	drug_cold	hgb_fusion_interaction	phase15_esm2_aft_frozen	291	0.8139636440844238	0.7962170251884686	0.44542315150575107
BioLiP/MOAD	protein_identity_cold	hgb_molecule	hgb_protein	365	0.0555481687061198	0.3594388620224822	1.1618812789702209
BioLiP/MOAD	protein_identity_cold	hgb_molecule	hgb_fusion_additive	365	0.4673932977352633	0.72556006384018	0.525540559426363
BioLiP/MOAD	protein_identity_cold	hgb_molecule	hgb_fusion_interaction	365	0.4289809362584743	0.7045980887910407	0.560810041355617
BioLiP/MOAD	protein_identity_cold	hgb_molecule	phase15_esm2_aft_frozen	365	0.40472327702943794	0.707339813059317	0.610469604793804
BioLiP/MOAD	protein_identity_cold	hgb_protein	hgb_fusion_additive	365	0.5516767250911565	0.7072401748222854	0.8093631452029024
BioLiP/MOAD	protein_identity_cold	hgb_protein	hgb_fusion_interaction	365	0.6012759955485553	0.7220380780506195	0.7875237621355793
BioLiP/MOAD	protein_identity_cold	hgb_protein	phase15_esm2_aft_frozen	365	0.3603113295416205	0.5970676142602531	0.9272751072609509
BioLiP/MOAD	protein_identity_cold	hgb_fusion_additive	hgb_fusion_interaction	365	0.8347949153922656	0.9213095011882347	0.26205983319586335
BioLiP/MOAD	protein_identity_cold	hgb_fusion_additive	phase15_esm2_aft_frozen	365	0.5419243231504629	0.7748691461244798	0.5201305698840161
BioLiP/MOAD	protein_identity_cold	hgb_fusion_interaction	phase15_esm2_aft_frozen	365	0.5766760524451969	0.7803752501708937	0.513578234206114
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_molecule	hgb_protein	704	0.08559180040723358	0.5375169482972646	0.9508734108166276
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_molecule	hgb_fusion_additive	704	0.5853222543489243	0.7461636111734035	0.5278808000981949
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_molecule	hgb_fusion_interaction	704	0.6058306369569828	0.7368493114452682	0.5446081516509698
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_molecule	phase15_esm2_aft_frozen	704	0.48752685171181015	0.6975258421821002	0.5801929881032174
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_protein	hgb_fusion_additive	704	0.46012979750406335	0.7870104127538083	0.6326410495308648
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_protein	hgb_fusion_interaction	704	0.4625307969463334	0.7928561092999796	0.6232008620415119
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_protein	phase15_esm2_aft_frozen	704	0.28223793661065943	0.6430046407828933	0.8040982829397456
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_fusion_additive	hgb_fusion_interaction	704	0.8269270692677732	0.9384610203248092	0.25935226546162193
