source	stratum	stratum_label	model_id	model_label	n	mae	baseline_mae	delta_mae	delta_mae_document_ci95_low	delta_mae_document_ci95_high	delta_mae_scaffold_ci95_low	delta_mae_scaffold_ci95_high	delta_mae_protein_cluster_ci95_low	delta_mae_protein_cluster_ci95_high	delta_mae_three_way_ci95_low	delta_mae_three_way_ci95_high	delta_mae_dependence_envelope_ci95_low	delta_mae_dependence_envelope_ci95_high	r2	mean_bias	mean_bias_three_way_ci95_low	mean_bias_three_way_ci95_high	calibration_slope	calibration_slope_three_way_ci95_low	calibration_slope_three_way_ci95_high	coverage_90	coverage_90_document_ci95_low	coverage_90_document_ci95_high	coverage_90_three_way_ci95_low	coverage_90_three_way_ci95_high	coverage_90_dependence_envelope_ci95_low	coverage_90_dependence_envelope_ci95_high
BioLiP/MOAD	overall	Overall	hgb_molecule	HGB ligand only	1382	1.2932046555816	1.67295565914714	-0.379751003565546	-0.48170789497615	-0.277794112154941	-0.485142369957245	-0.274359637173845	-0.505065949416927	-0.254436057714164	-0.493084307444792	-0.266417699686299	-0.505065949416927	-0.254436057714165	0.211950412529291	0.109789666578176	-0.0786216053946329	0.298200938550984	1.10597883381732	0.979639148002146	1.23231851963248							
BioLiP/MOAD	overall	Overall	hgb_protein	HGB protein only	1382	1.63337188265836	1.67295565914714	-0.0395837764887822	-0.125382254372818	0.0462147013952538	-0.10779017862239	0.0286226256448252	-0.135845603551291	0.0566780505737265	-0.119480358346791	0.0403128053692258	-0.135845603551291	0.0566780505737266	-0.227172837961881	0.936501819887772	0.705345387837312	1.16765825193823	0.604466144665069	0.394256684267166	0.814675605062972							
BioLiP/MOAD	overall	Overall	hgb_fusion_additive	HGB additive fusion	1382	1.33926880717564	1.67295565914714	-0.333686851971507	-0.420742369389638	-0.246631334553377	-0.423688939884491	-0.243684764058524	-0.438621394799686	-0.228752309143329	-0.430893294790534	-0.236480409152481	-0.438621394799686	-0.228752309143329	0.158608980035157	0.402308532914657	0.219230540131141	0.585386525698172	1.07000542720244	0.882930493335642	1.25708036106925							
BioLiP/MOAD	overall	Overall	hgb_fusion_interaction	HGB interaction fusion	1382	1.34785670832168	1.67295565914714	-0.325098950825468	-0.410816746243303	-0.239381155407633	-0.406182166276831	-0.244015735374106	-0.423826431131915	-0.226371470519021	-0.41338119786115	-0.236816703789787	-0.423826431131915	-0.226371470519021	0.1455968278727	0.43859601946227	0.249645733278514	0.627546305646025	1.05531630035547	0.854245228474693	1.25638737223624							
BioLiP/MOAD	overall	Overall	phase15_esm2_aft_frozen	Frozen ESM2-AFT	1382	1.31201059993551	1.67295565914714	-0.360945059211637	-0.472490963793446	-0.249399154629828	-0.450882452266566	-0.271007666156708	-0.488265474612604	-0.23362464381067	-0.462704502282979	-0.259185616140295	-0.488265474612604	-0.23362464381067	0.173101082746569	0.307949972993531	0.131238748971357	0.484661197015705	0.89815488090099	0.727157140665507	1.06915262113647	0.642547033285086	0.590863874967019	0.694230191603153	0.593349379601658	0.691744686968514	0.585017725124072	0.7000763414461
BioLiP/MOAD	drug_cold	Ligand cold	hgb_molecule	HGB ligand only	291	1.50537748458918	1.6827405966001	-0.177363112010924	-0.378910082993584	0.0241838589717356	-0.418345215434503	0.0636189914126546	-0.441104268585955	0.0863780445641071	-0.445355194363062	0.090628970341214	-0.445355194363062	0.0906289703412138	0.182792593254737	-0.310778006790924	-0.816540735020335	0.194984721438487	1.36177831770736	1.12826855590107	1.59528807951364							
BioLiP/MOAD	drug_cold	Ligand cold	hgb_protein	HGB protein only	291	1.431753107833	1.6827405966001	-0.250987488767101	-0.540410707978256	0.0384357304440546	-0.451981217931914	-0.0499937596022868	-0.606260644470047	0.104285666935845	-0.564748609169983	0.0627736316357813	-0.606260644470046	0.104285666935845	0.180055908818792	0.462918041322074	-0.111068588007435	1.03690467065158	0.858330057001048	0.48367699398062	1.23298312002148							
BioLiP/MOAD	drug_cold	Ligand cold	hgb_fusion_additive	HGB additive fusion	291	1.29871095746365	1.6827405966001	-0.384029639136458	-0.636517371848348	-0.131541906424568	-0.578454213920531	-0.189605064352386	-0.702215549676329	-0.0658437285965873	-0.662286695606252	-0.105772582666665	-0.702215549676329	-0.0658437285965873	0.349969148020277	0.0584998125152142	-0.387280010920927	0.504279635951355	1.30097156245495	0.947286334729955	1.65465679017995							
BioLiP/MOAD	drug_cold	Ligand cold	hgb_fusion_interaction	HGB interaction fusion	291	1.32585675341969	1.6827405966001	-0.356883843180418	-0.610120243870161	-0.103647442490674	-0.531519404079473	-0.182248282281363	-0.642976751081149	-0.0707909352796871	-0.600456225634276	-0.11331146072656	-0.642976751081149	-0.0707909352796873	0.314572014716166	0.101924038767233	-0.415290957490997	0.619139035025464	1.24057334682736	0.842319218228281	1.63882747542644							
BioLiP/MOAD	drug_cold	Ligand cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	291	1.21534178476977	1.6827405966001	-0.467398811830336	-0.73133538653699	-0.203462237123682	-0.658937799795367	-0.275859823865305	-0.789241122023254	-0.145556501637419	-0.752577238692447	-0.182220384968225	-0.789241122023254	-0.145556501637418	0.383391682263947	0.0698128150692166	-0.351374544358199	0.491000174496632	1.12629386476966	0.827186658783115	1.42540107075621	0.673539518900343	0.580261052589934	0.766817985210752	0.673539518900343	0.673539518900343	0.580261052589934	0.766817985210752
