sensitivity	category	model_id	nonabstained_pairs	exact_proteins	eligible_within_target_groups	source_wide_spearman	within_target_centered_spearman	within_target_pairwise_concordance	target_rank_attenuation
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	global_top5_morgan_similarity_v1_8	841	67	46	0.2553663680614098	0.0355274790699463	0.4967365927090876	0.2198388889914634
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	hgb_fusion_additive_pre2018_v1_8	841	67	46	0.0313624470335232	0.0219696216249512	0.5072766799371643	0.0093928254085719
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	ligand_mpnn_frozen_esm2_v1_8	841	67	46	0.0371797242011917	0.1618563568953822	0.5421645431959783	-0.1246766326941905
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	smiles_protein_cross_attention_v1_8	841	67	46	0.2714957293057367	0.1749802285370068	0.5115472254728943	0.0965155007687298
leave_one_origin_out__strict_dual_timestamp_patent	mandatory_leave_one_origin_out	global_top5_morgan_similarity_v1_8	1848	298	83	0.1448035454732561	-0.0114995758073496	0.5006303657539217	0.1563031212806057
leave_one_origin_out__strict_dual_timestamp_patent	mandatory_leave_one_origin_out	hgb_fusion_additive_pre2018_v1_8	1848	298	83	0.3373704891443538	0.1114584362675396	0.5479411337109547	0.2259120528768142
leave_one_origin_out__strict_dual_timestamp_patent	mandatory_leave_one_origin_out	ligand_mpnn_frozen_esm2_v1_8	1848	298	83	0.3076543015951385	0.1256125816789143	0.5101606330247543	0.1820417199162242
leave_one_origin_out__strict_dual_timestamp_patent	mandatory_leave_one_origin_out	smiles_protein_cross_attention_v1_8	1848	298	83	0.1930218853859861	0.1648862819337539	0.5466871803676752	0.0281356034522322
source_origin__database_entry_patent	mandatory_source_origin	global_top5_morgan_similarity_v1_8	768	66	42	0.1888398880002878	0.0011054149323351	0.5220955721106273	0.1877344730679527
source_origin__database_entry_patent	mandatory_source_origin	hgb_fusion_additive_pre2018_v1_8	768	66	42	0.3310728229719168	0.1120819250776564	0.532091191698197	0.2189908978942604
source_origin__database_entry_patent	mandatory_source_origin	ligand_mpnn_frozen_esm2_v1_8	768	66	42	0.2703869284787565	0.1784584664078297	0.5595891256675787	0.0919284620709267
source_origin__database_entry_patent	mandatory_source_origin	smiles_protein_cross_attention_v1_8	768	66	42	0.1580333551401281	0.1432805040433914	0.5529962870374759	0.0147528510967367
leave_one_origin_out__database_entry_patent	mandatory_leave_one_origin_out	global_top5_morgan_similarity_v1_8	1921	297	97	0.167165211535428	0.0503190347756062	0.4966598772901759	0.1168461767598218
leave_one_origin_out__database_entry_patent	mandatory_leave_one_origin_out	hgb_fusion_additive_pre2018_v1_8	1921	297	97	0.2453509488215562	0.1277929280288033	0.5448618249923909	0.1175580207927529
leave_one_origin_out__database_entry_patent	mandatory_leave_one_origin_out	ligand_mpnn_frozen_esm2_v1_8	1921	297	97	0.1901754458376452	0.1386005206357809	0.512009225673779	0.0515749252018643
leave_one_origin_out__database_entry_patent	mandatory_leave_one_origin_out	smiles_protein_cross_attention_v1_8	1921	297	97	0.2200809088985221	0.2240070869936046	0.5311386615943523	-0.0039261780950825
source_origin__database_entry_residual_patent	mandatory_source_origin	global_top5_morgan_similarity_v1_8	330	19	16	0.0784308696215543	0.0278613805750144	0.5211226300915588	0.0505694890465399
source_origin__database_entry_residual_patent	mandatory_source_origin	hgb_fusion_additive_pre2018_v1_8	330	19	16	0.088467437912937	0.0486739151062761	0.5330219478253919	0.0397935228066609
source_origin__database_entry_residual_patent	mandatory_source_origin	ligand_mpnn_frozen_esm2_v1_8	330	19	16	0.3606198691557046	0.1449212907045704	0.5231887894717622	0.2156985784511342
source_origin__database_entry_residual_patent	mandatory_source_origin	smiles_protein_cross_attention_v1_8	330	19	16	-0.3779823666187077	0.0459255549981922	0.4816934647900403	-0.4239079216169
