sensitivity	global_top5_morgan_similarity_v1_8	hgb_fusion_additive_pre2018_v1_8	ligand_mpnn_frozen_esm2_v1_8	smiles_protein_cross_attention_v1_8
exclude_exact_10000_nm	0.1427581075970164	0.1456851745082094	0.060299927709891	0.003469629029412
leave_one_origin_out__database_entry_chembl_import	0.1828583329343739	0.1251290127315441	-0.0301099579380549	-0.0239345142699407
leave_one_origin_out__database_entry_patent	0.1168461767598218	0.1175580207927529	0.0515749252018643	-0.0039261780950825
leave_one_origin_out__database_entry_residual_patent	0.1443553504001132	0.1248379126858315	0.0531331919515574	0.0337034416821688
leave_one_origin_out__strict_dual_timestamp_patent	0.1563031212806057	0.2259120528768142	0.1820417199162242	0.0281356034522322
nested_document_cap__10	0.0831884163592719	0.1116223974806216	0.0345971702027569	0.036140616715811
nested_document_cap__15	0.1242260352683283	0.1217987906624127	0.0427076423480864	0.0044617000183517
nested_document_cap__20	0.1425372937196813	0.134615483205942	0.0498474453410807	0.0057279426508334
publication_to_entry_lag__0_90_days	0.2563198552236331	0.2768825459135385	-0.087627553272326	0.2945508788899539
publication_to_entry_lag__91_365_days	0.1749744290827114	0.1005948002276336	-0.0244565518164371	-0.0520677774534261
publication_to_entry_lag__over_365_days	0.1159419587020863	0.0659785963825224	0.312085758568106	0.0168015329070697
publication_to_entry_lag__unknown_or_negative	-0.0403228384221449	0.0249514669158616	0.0241724311433134	-0.1063545255522211
replicated_pairs	-0.171416018949712	0.1551302090907625	-0.1187962842077173	-0.1071661419467771
single_measurement_pairs	0.1473297364501577	0.1454362414998279	0.0822559296277697	0.0186553527024517
source_origin__database_entry_chembl_import	0.0942765302195135	0.050555730722399	0.1957163645098573	-0.0609444892550875
source_origin__database_entry_patent	0.1877344730679527	0.2189908978942604	0.0919284620709267	0.0147528510967367
source_origin__database_entry_residual_patent	0.0505694890465399	0.0397935228066609	0.2156985784511342	-0.4239079216169
source_origin__strict_dual_timestamp_patent	0.2198388889914634	0.0093928254085719	-0.1246766326941905	0.0965155007687298
strict_publication_and_entry_post_2024	0.1814261115100768	0.1232064048019922	-0.0132093417598922	-0.0196891854121185
