document_component_id	pairs
PATCOMP_fced3a5a98c1e59d	25
PATCOMP_5cc4fc38a398804c	25
PATCOMP_6586ed0dc3e646ea	25
PATCOMP_64f281cf7aa25035	25
PATCOMP_abb70d8bd794c396	25
PATCOMP_62fd0caff24ed5b5	25
PATCOMP_61f5f5e9c0d51080	25
PATCOMP_5d09678e15498d75	25
PATCOMP_b539651cf22d244c	25
PATCOMP_51df22e98c491554	25
DOCCOMP_60cd0cb697f48763	25
PATCOMP_b607b87aa630bd5e	25
PATCOMP_bb05cb41aa363eb6	25
DOCCOMP_441937a3b43c1754	25
PATCOMP_4f8b1dc78d48f86f	25
PATCOMP_bc25b759f492f0e0	25
PATCOMP_bd1778997af315ad	25
PATCOMP_c07ad295a5dc9bb1	25
PATCOMP_65b8706f046b89c7	25
PATCOMP_6a086cf17c3b4f88	25
PATCOMP_47ddee847727e5d1	25
DOCCOMP_e1dabff60ff65688	25
PATCOMP_7bcd71b48616eb0b	25
PATCOMP_78564e0d3faaa3e0	25
PATCOMP_831739425d114681	25
DOCCOMP_9027baa175413989	25
PATCOMP_2392e07c5543b265	25
PATCOMP_8631809e766d0a89	25
PATCOMP_7472627b26b067d8	25
PATCOMP_a48df5403a5bc680	25
DOCCOMP_b01c6f02b85aabf7	25
DOCCOMP_6956c0d46f607d08	25
DOCCOMP_f4610a3f2b51321a	25
PATCOMP_6c97cd8df06b13ef	25
DOCCOMP_ac3893a5a2c48ca5	25
DOCCOMP_ad7c561b777cc3e8	25
PATCOMP_a826bef80a849b95	25
DOCCOMP_64ea1c115dc43871	25
DOCCOMP_39320141751cbe6f	25
DOCCOMP_4b2e7a169a9443dc	25
DOCCOMP_1c6f3499d0540d68	25
PATCOMP_2fad7843f50d93f2	25
PATCOMP_e1d89e0661de0308	25
PATCOMP_df274dcb8e8fddcf	25
DOCCOMP_11f9f86b1316542c	25
PATCOMP_fcc9715574d9cc58	25
PATCOMP_db9973361d89ff36	25
PATCOMP_d71b6ff5c56969ff	25
PATCOMP_3c98542259ccd741	25
PATCOMP_d68f07a9a49ad5d6	25
PATCOMP_d4560a293520a342	25
PATCOMP_f03d0d7972faa7ec	25
DOCCOMP_0e31c00892f2609d	25
PATCOMP_d3ed070aa7d97d9f	25
DOCCOMP_19cd802ccff7afb8	25
PATCOMP_2ebff939653fc85b	25
DOCCOMP_0c862067ff5fa66c	25
PATCOMP_c1ac7ac89a76bdba	25
PATCOMP_d015d5826081fd39	25
DOCCOMP_f6af86f86eee0f64	25
PATCOMP_c61a7d0c14aa22cb	25
DOCCOMP_f977e3ce7f893e88	25
PATCOMP_037712aab929d606	25
PATCOMP_fce3485e9150bd7c	23
PATCOMP_aa6ebae78a6805f8	22
PATCOMP_14e240fb099ecac2	22
PATCOMP_ded7990946678621	22
DOCCOMP_a9469ed65dbeb11c	21
PATCOMP_ba91da625c6519df	20
DOCCOMP_a0d97d24f5b684d1	20
PATCOMP_93500293dbfe5d1a	19
DOCCOMP_f02c2aed0f883a27	19
DOCCOMP_2f74b726e5ffcfb4	19
PATCOMP_1a014a43034033f7	18
PATCOMP_f8b04a5f5455b51f	18
PATCOMP_79ac6555e6bd5e57	18
PATCOMP_8e3880b829e62140	17
DOCCOMP_896e490fa4823002	16
PATCOMP_9ab4d69018f194b8	15
PATCOMP_39e20b919d8f8d14	15
PATCOMP_a5624bdc6414db56	15
PATCOMP_3bc8cd958055f721	15
PATCOMP_1a0173b43d16eafb	15
DOCCOMP_8c4133c91c4b105f	14
PATCOMP_1d5d45783f5813d4	14
PATCOMP_8802ecc7905c3869	14
PATCOMP_7c9135788b03be7a	14
DOCCOMP_7b3849a346b5a35e	13
DOCCOMP_3742ee8910ad36ab	13
PATCOMP_d2343717fd6a0039	12
DOCCOMP_9017e1ebcaca08b2	12
PATCOMP_bee7afcb0d978c11	12
DOCCOMP_9f1646fd8d2c31d2	12
DOCCOMP_6453233aad7ac4de	12
DOCCOMP_b7829282a9e4936f	12
PATCOMP_4ad6786568df85c0	12
DOCCOMP_c3704737da47656a	11
PATCOMP_4b4f23289f63ea54	11
DOCCOMP_158a03d1bdbf6c0d	11
DOCCOMP_8f558ddbc9013164	11
DOCCOMP_93c764a596eb4b72	10
PATCOMP_43785bf51c005667	10
DOCCOMP_054053c71550037c	10
PATCOMP_7307d4b701b08e17	10
DOCCOMP_b787f4beab1bc0da	10
PATCOMP_a50f57dcb4b6c585	10
PATCOMP_f10b664268053aea	10
PATCOMP_27900d3099d91e48	10
DOCCOMP_d90c27daa90eadf3	9
PATCOMP_25c30ac9c2e6c5ba	9
PATCOMP_ca06b64c18d0b25b	9
DOCCOMP_9fdb250d0aefa185	9
DOCCOMP_dee9f452675295ad	8
PATCOMP_317d43c8f51e458c	8
DOCCOMP_565a93cdb08c0e8f	8
DOCCOMP_63248e12fa2a5e92	8
DOCCOMP_c941ab56d937244a	7
PATCOMP_af68360ddcd971f3	7
PATCOMP_ab5d4aedf0bdbbe8	7
DOCCOMP_50136f35208b7257	7
PATCOMP_25c1a6b6c7f04f47	7
PATCOMP_54105105a1314c5a	7
DOCCOMP_5e363db4f7c629b7	7
DOCCOMP_3856bcc9c4947a00	7
DOCCOMP_7109acb7c07aef0c	7
PATCOMP_6a8cb45940300b4e	7
DOCCOMP_737c7eee00858bb5	6
DOCCOMP_cdd5b2f114dd0438	6
DOCCOMP_5fed38cf0c43d3bc	6
DOCCOMP_63bafb56d4d93ade	6
PATCOMP_a74c5982c80c7bff	6
DOCCOMP_d93b1b4d442db305	6
DOCCOMP_67c9beb1821d0762	5
DOCCOMP_3e7326646630814b	5
DOCCOMP_43efc0f91defd382	5
DOCCOMP_e3c9f503d5665022	5
PATCOMP_ed6af35b9c118bd3	5
DOCCOMP_3bb87c2774ec378e	4
DOCCOMP_3854bbbbc5eaaa4e	4
DOCCOMP_f4f14b4b7b34d8ef	4
DOCCOMP_265df6d1f900c807	4
DOCCOMP_238f1556c7415e2f	4
DOCCOMP_f5d5689397650177	4
DOCCOMP_c8daf651e4f8dd24	4
DOCCOMP_5966a9d2f749da49	4
DOCCOMP_654bd3f4ad5a4ee7	4
DOCCOMP_9c77150d06459fda	4
DOCCOMP_c1b5b10bfd6d48db	4
DOCCOMP_a5122220898e7d96	4
PATCOMP_b243bce010b12c0e	3
DOCCOMP_10fdffc053eae489	3
DOCCOMP_9fe7dad9156ae377	3
DOCCOMP_959471f28d998c2f	3
DOCCOMP_296f514920516ee4	3
DOCCOMP_7c90f1a8fb50e1cf	3
PATCOMP_9c6f8fb0430e88fa	3
