model_id	reference_model_id	common_pairs	mae_difference_model_minus_reference	win_rate_lower_absolute_error
development_exact_median_v1_8	development_exact_median_v1_8	2689	0.0	0.0
development_exact_median_v1_8	global_top5_morgan_similarity_v1_8	2689	-0.11467894999872862	0.5370026031982149
global_top5_morgan_similarity_v1_8	development_exact_median_v1_8	2689	0.11467894999872862	0.46299739680178503
global_top5_morgan_similarity_v1_8	global_top5_morgan_similarity_v1_8	2689	0.0	0.0
hgb_fusion_additive_pre2018_v1_8	development_exact_median_v1_8	2689	-0.04585957728037874	0.5094830792116029
hgb_fusion_additive_pre2018_v1_8	global_top5_morgan_similarity_v1_8	2689	-0.16053852727910733	0.5641502417255485
ligand_mpnn_frozen_esm2_v1_8	development_exact_median_v1_8	2689	0.01863005978339295	0.5083674228337672
ligand_mpnn_frozen_esm2_v1_8	global_top5_morgan_similarity_v1_8	2689	-0.09604889021533566	0.5273335812569728
smiles_protein_cross_attention_v1_8	development_exact_median_v1_8	2689	-0.04827143799235743	0.5343994049832651
smiles_protein_cross_attention_v1_8	global_top5_morgan_similarity_v1_8	2689	-0.16295038799108605	0.5589438452956489
