model_id	grouping	groups	total_rank_covariance	between_group_rank_covariance	within_group_rank_covariance	decomposition_error	between_fraction_of_total
development_exact_median_v1_8	exact_protein	340	0.0	0.0	0.0	0.0	
development_exact_median_v1_8	document_component	292	0.0	0.0	0.0	0.0	
development_exact_median_v1_8	source_stratum	4	0.0	0.0	0.0	0.0	
global_top5_morgan_similarity_v1_8	exact_protein	340	105167.83265154333	96145.20717688756	9022.625474655757	1.0913936421275139e-11	0.9142073650547617
global_top5_morgan_similarity_v1_8	document_component	292	105167.83265154333	94379.19513492919	10788.637516614153	-1.6370904631912708e-11	0.8974150437010474
global_top5_morgan_similarity_v1_8	source_stratum	4	105167.83265154333	17444.064448499885	87723.76820304345	-1.4551915228366852e-11	0.16586882137523914
hgb_fusion_additive_pre2018_v1_8	exact_protein	340	160869.42348456677	140740.16857238417	20129.2549121826	0.0	0.8748720889516103
hgb_fusion_additive_pre2018_v1_8	document_component	292	160869.42348456677	153722.0945555413	7147.328929025471	5.4569682106375694e-12	0.9555706188646149
hgb_fusion_additive_pre2018_v1_8	source_stratum	4	160869.42348456677	53932.422867725334	106937.00061684144	-1.4551915228366852e-11	0.335255896984671
ligand_mpnn_frozen_esm2_v1_8	exact_protein	340	129635.35868352547	124480.52575205955	5154.832931465937	-1.6370904631912708e-11	0.9602359033537274
ligand_mpnn_frozen_esm2_v1_8	document_component	292	129635.35868352547	130698.81303267629	-1063.4543491508175	-5.4569682106375694e-12	1.00820342813836
ligand_mpnn_frozen_esm2_v1_8	source_stratum	4	129635.35868352547	36551.3464295032	93084.01225402225	1.4551915228366852e-11	0.281955068437268
smiles_protein_cross_attention_v1_8	exact_protein	340	125797.8412049089	105179.26468696176	20618.57651794715	-1.4551915228366852e-11	0.8360975329905538
smiles_protein_cross_attention_v1_8	document_component	292	125797.8412049089	121657.41311587184	4140.428089037021	3.637978807091713e-11	0.9670866522876747
smiles_protein_cross_attention_v1_8	source_stratum	4	125797.8412049089	39867.30014467189	85930.541060237	1.4551915228366852e-11	0.31691561447173855
