resampling_unit	model_id	endpoint	resampling_units	fragility_flag	estimate	bootstrap_se	ordinary_95_ci_low	ordinary_95_ci_high	valid_bootstrap_replicates
exact_protein	global_top5_morgan_similarity_v1_8	source_wide_spearman	340	none	0.17453962403294246	0.04469342066884256	0.08112823972573034	0.26026316671138455	2000
exact_protein	global_top5_morgan_similarity_v1_8	within_target_centered_spearman	340	none	0.03153500819771083	0.039592580547566716	-0.043320744307309214	0.11209169378415551	2000
exact_protein	global_top5_morgan_similarity_v1_8	within_target_pairwise_concordance	340	none	0.5035113609219793	0.013368185428047326	0.4772899649684786	0.5296895348887326	2000
exact_protein	global_top5_morgan_similarity_v1_8	target_rank_attenuation	340	none	0.14300461583523164	0.04650541392594004	0.05259573729664707	0.23496297514895778	2000
exact_protein	hgb_fusion_additive_pre2018_v1_8	source_wide_spearman	340	none	0.2669829807786111	0.07193925561948646	0.1270426996851464	0.4017577041131105	2000
exact_protein	hgb_fusion_additive_pre2018_v1_8	within_target_centered_spearman	340	none	0.12165279636341413	0.04398108187290693	0.042616618725455475	0.2139569820637362	2000
exact_protein	hgb_fusion_additive_pre2018_v1_8	within_target_pairwise_concordance	340	none	0.5403762073110209	0.010607969053550643	0.5198901008317759	0.5611233202035221	2000
exact_protein	hgb_fusion_additive_pre2018_v1_8	target_rank_attenuation	340	none	0.14533018441519696	0.07593294054856951	-0.00551828878696875	0.294007809009283	2000
exact_protein	ligand_mpnn_frozen_esm2_v1_8	source_wide_spearman	340	none	0.21514612834553887	0.06113256396867561	0.08894938415325204	0.32718128650062217	2000
exact_protein	ligand_mpnn_frozen_esm2_v1_8	within_target_centered_spearman	340	none	0.15576677189474436	0.0449423950080623	0.06723477079321138	0.24212491154002397	2000
exact_protein	ligand_mpnn_frozen_esm2_v1_8	within_target_pairwise_concordance	340	none	0.5276206458519298	0.012384042204236084	0.5030719941021967	0.5519224999034753	2000
exact_protein	ligand_mpnn_frozen_esm2_v1_8	target_rank_attenuation	340	none	0.05937935645079451	0.07262354424220477	-0.07925011557821234	0.19774509368936072	2000
exact_protein	smiles_protein_cross_attention_v1_8	source_wide_spearman	340	none	0.20877728606635118	0.05939824109336786	0.09535080835862444	0.3314096791990038	2000
exact_protein	smiles_protein_cross_attention_v1_8	within_target_centered_spearman	340	none	0.2058620354824057	0.040850825649696956	0.13510618177420602	0.2939790662011581	2000
exact_protein	smiles_protein_cross_attention_v1_8	within_target_pairwise_concordance	340	none	0.5478717626734361	0.013300919892530764	0.5220820955677404	0.5736869725383387	2000
exact_protein	smiles_protein_cross_attention_v1_8	target_rank_attenuation	340	none	0.0029152505839454834	0.059016432304457876	-0.11489719237561452	0.11840389113154745	2000
scaffold	global_top5_morgan_similarity_v1_8	source_wide_spearman	1346	none	0.17453962403294246	0.03153723962525944	0.11218446360794937	0.2366779838919869	2000
scaffold	global_top5_morgan_similarity_v1_8	within_target_centered_spearman	1346	none	0.03153500819771083	0.030656142281856015	-0.019360896146140217	0.10280252562832635	2000
scaffold	global_top5_morgan_similarity_v1_8	within_target_pairwise_concordance	1346	none	0.5035113609219793	0.01499245351078774	0.4792079114035287	0.5391528685727599	2000
scaffold	global_top5_morgan_similarity_v1_8	target_rank_attenuation	1346	none	0.14300461583523164	0.036704057917782744	0.06381118495663286	0.20791958914515077	2000
scaffold	hgb_fusion_additive_pre2018_v1_8	source_wide_spearman	1346	none	0.2669829807786111	0.029904060838319146	0.20818814173282402	0.32542203308262296	2000
scaffold	hgb_fusion_additive_pre2018_v1_8	within_target_centered_spearman	1346	none	0.12165279636341413	0.0328312013471676	0.05434411718492939	0.18373655428356334	2000
scaffold	hgb_fusion_additive_pre2018_v1_8	within_target_pairwise_concordance	1346	none	0.5403762073110209	0.015804348324153422	0.5092446781390874	0.5712909866400695	2000
scaffold	hgb_fusion_additive_pre2018_v1_8	target_rank_attenuation	1346	none	0.14533018441519696	0.041137334960112765	0.06446454848059821	0.22759719528885167	2000
scaffold	ligand_mpnn_frozen_esm2_v1_8	source_wide_spearman	1346	none	0.21514612834553887	0.033592592289988524	0.15091639804254994	0.2813627437564084	2000
scaffold	ligand_mpnn_frozen_esm2_v1_8	within_target_centered_spearman	1346	none	0.15576677189474436	0.02851915538984499	0.09067703154623191	0.2040312134675463	2000
scaffold	ligand_mpnn_frozen_esm2_v1_8	within_target_pairwise_concordance	1346	none	0.5276206458519298	0.015451953373950288	0.4928066823260916	0.5538241798768893	2000
scaffold	ligand_mpnn_frozen_esm2_v1_8	target_rank_attenuation	1346	none	0.05937935645079451	0.04588170788566762	-0.021778116175966783	0.1591865071809259	2000
