blind_pair_id	pair_sha256	origin_cohort	origin_blind_pair_id
BDBAGG_V112_000001	5338019fafc1032335bb8f227f7eacaeccb496a21f0192141f196213c94fd6c3	v1.9	BDBPAT_V19_001291
BDBAGG_V112_000002	aa25037aa4db2eb7b1a745cd26c33ccfcd05366a6c77cd76675a32110dd20759	v1.9	BDBPAT_V19_002601
BDBAGG_V112_000003	3ceea73f6f654269a76d23a61e3176da0ad124adb6395d9760d5844e64469cdb	v1.11	BDBALL_V111_000299
BDBAGG_V112_000004	2423cb871d1f7cb625c4851d320452f453314dd75f680ad7e57a857961ff920a	v1.9	BDBPAT_V19_000525
BDBAGG_V112_000005	4a1571ff3a173a8e7d87ecdb7fcee7afbfec281a009b3536ac1d57c1f83c75d0	v1.9	BDBPAT_V19_001135
BDBAGG_V112_000006	8579accdd2edc7fa457c638676420288a25e521f8f3bf417ec3cc76ce4744b81	v1.11	BDBALL_V111_000388
BDBAGG_V112_000007	263862d235c37e63becc4d25bfed3ace15b87a4b42f495971139daaacf06c06f	v1.11	BDBALL_V111_000147
BDBAGG_V112_000008	9d364ec798c5e4eee2b207dbfdf757b5c44c5d1236f9a7e33a191f4f2951252b	v1.11	BDBALL_V111_000762
BDBAGG_V112_000009	28d94be3eb2adaaf690cea5aab3420f9c077960900d5454cc738997e583bce4c	v1.9	BDBPAT_V19_000597
BDBAGG_V112_000010	0135e817d8b9b57000536a8a1c53406845920bd0031b7eb6f5b76144fb29b576	v1.9	BDBPAT_V19_000020
BDBAGG_V112_000011	bdb862eadedb196d5dce85998560f4c011d5e37694392386bd0c99dc6a9d712f	v1.11	BDBALL_V111_000036
BDBAGG_V112_000012	3496766781b7d5fd7b32bbfff4fe2ce56271ae7142a7d7955fc734a80a7f594f	v1.11	BDBALL_V111_000896
BDBAGG_V112_000013	246c56414dc4648d10134919c18f3a5b97bbffd2e150eba22cb6f3e124a5ff29	v1.9	BDBPAT_V19_000534
BDBAGG_V112_000014	7a2826ab3fa96366b63df831ce03439ff266fafb49049fba32b6fa7475b2fce6	v1.11	BDBALL_V111_000338
BDBAGG_V112_000015	4b6c99b92fb538493b72e1d93e9823abdd51226763432d2bba51cf1505755986	v1.9	BDBPAT_V19_001161
BDBAGG_V112_000016	867553e6eb8126d1ad7992e5098057c4cff5e8a8edb8aabb1b48df8164dc32e8	v1.11	BDBALL_V111_000918
BDBAGG_V112_000017	9fb43d4e32ecd38d73a87757c57b552573072eea65859e9ade81b199c6e23539	v1.9	BDBPAT_V19_002435
BDBAGG_V112_000018	42631311776451e3040232741cc524364f543a549af323a4405cf0129ca560d9	v1.9	BDBPAT_V19_000997
BDBAGG_V112_000019	251128e1902e23d381a46c16ff952b00b7036b0bfe3ea625c0fcb1a20291880b	v1.9	BDBPAT_V19_000542
BDBAGG_V112_000020	0b3776b764846f18df6da626f26de4afa6cb1fe11ad082a52328519a289a8b0d	v1.9	BDBPAT_V19_000146
BDBAGG_V112_000021	c76c8428f873e2ebbf9ff699bbb0b66d8c2ad2a0cf5b160bd60227d1e29e786f	v1.11	BDBALL_V111_000574
BDBAGG_V112_000022	967c52ba27acf59151fdff73d8b69162c6f20b935d5f6f3a03f90798112a3374	v1.9	BDBPAT_V19_002302
