sensitivity	category	model_id	nonabstained_pairs	exact_proteins	eligible_within_target_groups	source_wide_spearman	within_target_centered_spearman	within_target_pairwise_concordance	target_rank_attenuation
strict_publication_and_entry_post_2024	locked_temporal	global_top5_morgan_similarity_v1_8	1915	133	87	0.19486300890129538	0.013436897391218549	0.5089570416103358	0.18142611151007682
strict_publication_and_entry_post_2024	locked_temporal	hgb_fusion_additive_pre2018_v1_8	1915	133	87	0.1842234257658616	0.061017020963869316	0.5169926265369831	0.12320640480199227
strict_publication_and_entry_post_2024	locked_temporal	ligand_mpnn_frozen_esm2_v1_8	1915	133	87	0.15991636624746555	0.17312570800735777	0.5436834787369694	-0.013209341759892218
strict_publication_and_entry_post_2024	locked_temporal	smiles_protein_cross_attention_v1_8	1915	133	87	0.12438131383467907	0.14407049924679766	0.5286786706434387	-0.019689185412118587
exclude_exact_10000_nm	locked_endpoint	global_top5_morgan_similarity_v1_8	2686	338	126	0.17433283469496358	0.03157472709794715	0.5034918072067734	0.14275810759701643
exclude_exact_10000_nm	locked_endpoint	hgb_fusion_additive_pre2018_v1_8	2686	338	126	0.26726258826225546	0.12157741375404604	0.5403301985693599	0.14568517450820942
exclude_exact_10000_nm	locked_endpoint	ligand_mpnn_frozen_esm2_v1_8	2686	338	126	0.2162635105234228	0.15596358281353176	0.5276286973817205	0.06029992770989104
exclude_exact_10000_nm	locked_endpoint	smiles_protein_cross_attention_v1_8	2686	338	126	0.20945330428338996	0.20598367525397795	0.5478223032761506	0.0034696290294120025
single_measurement_pairs	locked_measurement	global_top5_morgan_similarity_v1_8	2474	326	120	0.17021694695028863	0.022887210500130938	0.5015619983998354	0.1473297364501577
single_measurement_pairs	locked_measurement	hgb_fusion_additive_pre2018_v1_8	2474	326	120	0.2547135758249617	0.10927733432513372	0.5348752922976251	0.14543624149982798
single_measurement_pairs	locked_measurement	ligand_mpnn_frozen_esm2_v1_8	2474	326	120	0.22237641437013486	0.1401204847423651	0.5226672103920087	0.08225592962776976
single_measurement_pairs	locked_measurement	smiles_protein_cross_attention_v1_8	2474	326	120	0.20515454090496135	0.1864991882025096	0.5436909513572918	0.01865535270245175
replicated_pairs	locked_measurement	global_top5_morgan_similarity_v1_8	215	72	11	0.1565483788718943	0.3279643978216063	0.6049193231011413	-0.171416018949712
replicated_pairs	locked_measurement	hgb_fusion_additive_pre2018_v1_8	215	72	11	0.4047262146896469	0.2495960055988844	0.6313459268004723	0.15513020909076253
replicated_pairs	locked_measurement	ligand_mpnn_frozen_esm2_v1_8	215	72	11	0.029311638171239288	0.1481079223789566	0.5300144300144299	-0.1187962842077173
replicated_pairs	locked_measurement	smiles_protein_cross_attention_v1_8	215	72	11	0.21899889506528558	0.32616503701206273	0.6178997769906861	-0.10716614194677715
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	global_top5_morgan_similarity_v1_8	841	67	46	0.2553663680614098	0.03552747906994636	0.49673659270908765	0.21983888899146342
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	hgb_fusion_additive_pre2018_v1_8	841	67	46	0.031362447033523214	0.021969621624951242	0.5072766799371643	0.009392825408571972
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	ligand_mpnn_frozen_esm2_v1_8	841	67	46	0.0371797242011917	0.16185635689538222	0.5421645431959783	-0.12467663269419052
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	smiles_protein_cross_attention_v1_8	841	67	46	0.2714957293057367	0.1749802285370068	0.5115472254728943	0.09651550076872989
