sensitivity	category	model_id	endpoint	nonabstained_pairs	exact_proteins	eligible_within_target_groups	estimate	bootstrap_se	ordinary_95_ci_low	ordinary_95_ci_high	valid_bootstrap_replicates
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	global_top5_morgan_similarity_v1_8	source_wide_spearman	841	67	46	0.2553663680614098	0.0833258012454511	0.07714579507641857	0.4058593993776777	2000
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	global_top5_morgan_similarity_v1_8	within_target_centered_spearman	841	67	46	0.03552747906994636	0.07045664791158038	-0.09730354840469671	0.18046580266890055	2000
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	global_top5_morgan_similarity_v1_8	within_target_pairwise_concordance	841	67	46	0.49673659270908765	0.019624287357022336	0.46739153117190074	0.5435055801525497	2000
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	global_top5_morgan_similarity_v1_8	target_rank_attenuation	841	67	46	0.21983888899146342	0.09970444514250312	0.003491889056464137	0.4003806300024165	2000
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	hgb_fusion_additive_pre2018_v1_8	source_wide_spearman	841	67	46	0.031362447033523214	0.10729778665645033	-0.1789128221562491	0.237623589929669	2000
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	hgb_fusion_additive_pre2018_v1_8	within_target_centered_spearman	841	67	46	0.021969621624951242	0.06476479814973424	-0.11854842280924616	0.13609167624236038	2000
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	hgb_fusion_additive_pre2018_v1_8	within_target_pairwise_concordance	841	67	46	0.5072766799371643	0.019796427248134046	0.46452810400496597	0.5411236058320187	2000
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	hgb_fusion_additive_pre2018_v1_8	target_rank_attenuation	841	67	46	0.009392825408571972	0.11345835160244538	-0.20104917978401066	0.25136992540115183	2000
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	ligand_mpnn_frozen_esm2_v1_8	source_wide_spearman	841	67	46	0.0371797242011917	0.1465534065497492	-0.2566751242868503	0.31658005149103696	2000
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	ligand_mpnn_frozen_esm2_v1_8	within_target_centered_spearman	841	67	46	0.16185635689538222	0.07372902319533722	-0.013817727873554703	0.27458562857711377	2000
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	ligand_mpnn_frozen_esm2_v1_8	within_target_pairwise_concordance	841	67	46	0.5421645431959783	0.01924417217082152	0.4917782423147547	0.5685129361764443	2000
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	ligand_mpnn_frozen_esm2_v1_8	target_rank_attenuation	841	67	46	-0.12467663269419052	0.17015744342624808	-0.4231016504228101	0.2357244625275925	2000
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	smiles_protein_cross_attention_v1_8	source_wide_spearman	841	67	46	0.2714957293057367	0.11528076220925026	0.027563889981855397	0.47868629373919586	2000
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	smiles_protein_cross_attention_v1_8	within_target_centered_spearman	841	67	46	0.1749802285370068	0.06557783944710564	-0.006247058872028644	0.24812627736333595	2000
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	smiles_protein_cross_attention_v1_8	within_target_pairwise_concordance	841	67	46	0.5115472254728943	0.02183331829286086	0.4655147023830811	0.5504377252453024	2000
source_origin__strict_dual_timestamp_patent	mandatory_source_origin	smiles_protein_cross_attention_v1_8	target_rank_attenuation	841	67	46	0.09651550076872989	0.11987851167512825	-0.10866310985940687	0.3627399216631013	2000
leave_one_origin_out__strict_dual_timestamp_patent	mandatory_leave_one_origin_out	global_top5_morgan_similarity_v1_8	source_wide_spearman	1848	298	83	0.1448035454732561	0.057589704258964515	0.028053518199873388	0.25717996677684407	2000
leave_one_origin_out__strict_dual_timestamp_patent	mandatory_leave_one_origin_out	global_top5_morgan_similarity_v1_8	within_target_centered_spearman	1848	298	83	-0.011499575807349626	0.04557978558794064	-0.08412705666994014	0.09425340397944006	2000
leave_one_origin_out__strict_dual_timestamp_patent	mandatory_leave_one_origin_out	global_top5_morgan_similarity_v1_8	within_target_pairwise_concordance	1848	298	83	0.5006303657539217	0.018942853901286336	0.46139594139474527	0.5379819781899787	2000
leave_one_origin_out__strict_dual_timestamp_patent	mandatory_leave_one_origin_out	global_top5_morgan_similarity_v1_8	target_rank_attenuation	1848	298	83	0.15630312128060572	0.0622334159163783	0.016240958143162884	0.2656166004691848	2000
leave_one_origin_out__strict_dual_timestamp_patent	mandatory_leave_one_origin_out	hgb_fusion_additive_pre2018_v1_8	source_wide_spearman	1848	298	83	0.33737048914435386	0.06550778850147312	0.20771876554992766	0.46249785846952673	2000
