minimum_pairs_per_target	model_id	model_label	n_target_groups	n_estimable_target_rho	macro_mean_target_rho	macro_median_target_rho	fraction_target_rho_positive	fraction_target_rho_at_least_0_10	macro_mean_best_ligand_regret_pkd	macro_median_top10_enrichment
5	global_top5_morgan_similarity_v1_8	Morgan similarity	126	123	0.010306167518252791	-0.008301707982864715	0.4796747967479675	0.3821138211382114	1.2843222042022124	0.0
5	hgb_fusion_additive_pre2018_v1_8	Additive HGB	126	123	0.11658877263027806	0.14285714285714288	0.6585365853658537	0.5284552845528455	1.2617716465408932	0.0
5	ligand_mpnn_frozen_esm2_v1_8	Ligand MPNN + ESM-2	126	123	0.08047151495475861	0.04553422044199251	0.5528455284552846	0.44715447154471544	1.2163540763533525	0.0
5	smiles_protein_cross_attention_v1_8	SMILES-protein cross-attention	126	123	0.14063898796137533	0.14285714285714288	0.6260162601626016	0.5121951219512195	1.1954990941165105	0.0
8	global_top5_morgan_similarity_v1_8	Morgan similarity	99	97	0.03757806288090641	-0.008301707982864715	0.4948453608247423	0.4020618556701031	1.3581373462461066	0.0
8	hgb_fusion_additive_pre2018_v1_8	Additive HGB	99	97	0.0915923530857615	0.09128709291752768	0.6082474226804123	0.4845360824742268	1.4192626535809278	0.0
8	ligand_mpnn_frozen_esm2_v1_8	Ligand MPNN + ESM-2	99	97	0.10024867035181156	0.08362250589837339	0.5979381443298969	0.4742268041237113	1.2881301954891042	0.0
8	smiles_protein_cross_attention_v1_8	SMILES-protein cross-attention	99	97	0.18898338738346285	0.18257418583505536	0.6907216494845361	0.5463917525773195	1.283410723182811	0.0
10	global_top5_morgan_similarity_v1_8	Morgan similarity	88	86	0.044856252925192	0.00039460055402218853	0.5	0.4186046511627907	1.3829332442505082	0.0
10	hgb_fusion_additive_pre2018_v1_8	Additive HGB	88	86	0.0863891641729781	0.07031321076377164	0.5813953488372093	0.46511627906976744	1.4274116072295542	0.0
10	ligand_mpnn_frozen_esm2_v1_8	Ligand MPNN + ESM-2	88	86	0.12108581783077299	0.09609338030390663	0.6046511627906976	0.5	1.3094603232710076	0.0
10	smiles_protein_cross_attention_v1_8	SMILES-protein cross-attention	88	86	0.2113195284002322	0.21458846032016765	0.7093023255813954	0.5581395348837209	1.2803772678359904	0.0
15	global_top5_morgan_similarity_v1_8	Morgan similarity	57	55	0.04491198443593251	-0.008301707982864715	0.4909090909090909	0.4	1.5046390031835164	0.0
15	hgb_fusion_additive_pre2018_v1_8	Additive HGB	57	55	0.08955473996755982	0.08077263868104126	0.6363636363636364	0.4727272727272727	1.5647624187448075	0.0
15	ligand_mpnn_frozen_esm2_v1_8	Ligand MPNN + ESM-2	57	55	0.12006481923141382	0.0452091413281355	0.5454545454545454	0.4727272727272727	1.5637078908289104	0.0
15	smiles_protein_cross_attention_v1_8	SMILES-protein cross-attention	57	55	0.1994505990446581	0.20540069686411153	0.6909090909090909	0.5636363636363636	1.6074690785757069	0.0
