protein_sha256	normalized_length	chunk_count	embedding_l2_norm
005d3d027b78ea2cd89b091eed5a8b8e5f97d9ebcea50ca66cc24a8d52863e65	551	1	1.0
01b6c32eee0d173b181b1bb3926e78b1014c3c8a350003ef462b97fcad650063	509	1	0.99999994
022c5e46aa4d58f82ea0b1dcb834398f4f1195826519611b0447b8b5e3536ef3	925	1	1.0
024435b6a912aaecfa2992585f7d822f4f49a8a1338b3bc6a7b36bd8991acd0a	533	1	1.0
0245deffad73dcd5cf0c8f7c09aef20860fbe11c1fb839049bce6dd95819195c	132	1	1.0
028f4d4e6566b0a43bf03df24d0833f95e4772db5434a3841a945be32735ed1b	111	1	1.0
043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852	920	1	1.0
0451c5f5ef052711dec57df65d688e28c0027e49dc4be546d73beb880c6181ed	692	1	1.0
045de6b23d69dba05552c9aae2f5507478a5c7eddd1a1641df8082b145478595	1153	2	1.0
057798c1089fc251ff563dc03e5373e0684e90960e1f34c27c071d8afcfbd9b9	322	1	1.0
058d29ba453bfb351cb680585c5dcecf4f9ebfa297008ad419cabaf906f6f124	727	1	1.0
0647ba978c0e550399fa33c8ee2f26c82b028539edf3f9473604a855d9965cbd	807	1	1.0
0656e40de4997b31658a487fdaf93307f65e072fc5beceda66d0ee0c6606ab93	102	1	1.0
067f7c4a3936c5152653761ee0a1815aaa6783395287be36fc61163619542623	1210	2	1.0
074cc29440ec26e5804d94f8f250844a95475c79a541bca6de2af6413d38a9af	419	1	0.99999994
0771b66a376dfd4547928751675448ca437514985682429ac74a864e55524581	119	1	0.99999994
0798437def06af18f0ee151fb68a7ef37e16370ca11546ce6c0bc2b644f3a960	753	1	1.0
0864cbb8ca97c84e975766f7ef146c361a02a1c30f2ea43f904dafe46a40aef5	290	1	1.0
0964b8ab750f4f675886036ee344acb048e251156e11a6c965cc39525773b4e8	305	1	1.0
0a1a909cf5ee3fcb36c17135913ce49913db6fb6392fe43faf9c92df9994a1b2	442	1	1.0
0b45a125f79ff79f518bea9817977a88d19133ebd6d02e1b5d93efd17d898558	407	1	1.0
0b7b4371349d430586f14fcc356499e91f31b6c9212ea6201bf7d5b0e5dae343	673	1	1.0
0caed4ff234c64efd5f01371efafe0b9c14cc59dbeaf60e2fa25f299f8104146	255	1	1.0
0d1190ba0075fe0f9b168b101951ae5c4f318a8d7c4600e84a60eaf61603764d	993	1	1.0
0e1b606ba4a2733bcc0bfda24d9072606dc3876638804d08520b6d5c668ea019	894	1	1.0
0eb48fb6c6aed997133e177cdb3bc677507f53b531633c28e8f7ad8d6959cfc3	496	1	0.99999994
0f99982b545e61cc6fa4ca70be1e2f0f503d3e26f44fdb3067dd3c6905bb2788	344	1	0.99999994
0fdccc9cc749eb00612285f573499f74063b76552555a5224368cb16c4e657c6	324	1	0.99999994
0ffa2c3a49e35475b4ea21d7e9b49766b046daa6930815fe57315f2133ffdaf1	127	1	1.0
1124c18fb3efc90e0ff463447ceacf7d8fb0296938cb91299b611dcb581c9af1	649	1	1.0
11d994f4fbe3205af3d9f39d5cc4bc769e2da7c9edcb5cadf3c051c411253fa6	445	1	1.0
11ece92120ddda7cb24d066134fbac86840167b78f16cd0b6e9fc74e07e29b62	513	1	0.99999994
1269eded1c27d47120560ad220675e101d8357abdf6c451b11d504689e4cc72a	589	1	1.0
12bb6deb5f960ef3ae9001e0c74e5b707dcfa02cf027ef1750b9d21e4e2744a1	1430	2	1.0
138b95b30ab8f0f5159c8e47139e072be23cc2dda5f74980956ee5764897d1d7	1036	2	1.0
13f7554d9b19f2ba75cc851600252cf99ccd746317c5b94db51a8c830a534c45	858	1	1.0
14c12f3038e6dde2d28b78c0961e52dae3040876f6c8e2ce7208899bca679c80	2549	3	1.0
15321c6a24653503fc98383e4edc446dc4783b8f9772c7b92a89416d3359f581	133	1	0.99999994
157e57336ec87f9f746263022cafc4b988e9ebaf633e0d9724b5dc5e14d7c49b	217	1	1.0
160bff8802a0ae758fb5061815bc26f387982c70cccc29bc814b978d82261070	2474	3	1.0
1740a00df4b91dc186680dfedb4b8b1eaed2f508c951cb44f0a8a5995c52ba63	1437	2	1.0
1745754698cfda0da91a4ab57a3167699fd9968011b4a7887a53c1da2876fbe1	847	1	1.0
17659308c69ac01d51fcc86fe96d838f4bfef869049bfc92b2e384f79ed58de3	798	1	1.0
176d791e481cb2e52737cdb1c14695e77230ac61d5bc893adc543d095b381d79	366	1	1.0
17bb2cec3a3bbb5375f76542963759fa9fbd060398051d9fd66206f0c0310d92	108	1	1.0
18a68eca96f64db10c5b38e1f1bf1b013e7dd5091fad780578010a93474da833	1124	2	1.0
18e4fe4189d4300e2c85dc966249934aacd3dc3e351a62364a698aa32cefc59a	466	1	1.0
193ae13f26a1e7653dafbff7018112b4efc011c66a963f2eac886797a6c0d77c	444	1	1.0
198a8de7f7984533488730efe027d6be7c45763465414d2c9e2d968688ed30c9	475	1	1.0
199b54314c927d12922cfad459f823fe2dac4f14f15831b6a5d1b6136c4c8eb6	484	1	1.0
